gene,log2FoldChange,pvalue,padj,direction
GAPDH,-1.09968124846726,1.2783110473760702e-279,1.27831104737607e-278,Normal up
ACTB,-1.09607723481762,3.23883875757621e-271,1.61941937878811e-270,Normal up
MKI67,1.16933034596911,7.65255299659797e-123,2.5508509988659896e-122,Tumor up
COL11A1,0.949903885975836,2.3811216229954597e-83,5.95280405748864e-83,Tumor up
PYCR1,-0.485038171685606,8.62247108146226e-63,1.72449421629245e-62,Normal up
FAM83A,0.260379095376846,3.11291319986852e-12,5.18818866644753e-12,Tumor up
EGFR,-0.221239420626135,4.3854338350638303e-10,6.26490547866261e-10,Normal up
B3GNT3,0.227349405081714,5.08179345394727e-09,6.35224181743408e-09,Tumor up
EPCAM,0.203473831891195,1.39421035053967e-08,1.54912261171074e-08,Tumor up
CRABP2,-0.192978326793401,3.94621506734348e-08,3.94621506734348e-08,Normal up
