Gene,Normal_01,Normal_02,Normal_03,Normal_04,Normal_05,Tumor_01,Tumor_02,Tumor_03,Tumor_04,Tumor_05
PYCR1,820,800,830,810,820,1250,1280,1230,1270,1260
FAM83A,410,430,400,420,410,1080,1050,1090,1070,1060
B3GNT3,380,390,370,400,380,960,980,950,970,990
CRABP2,520,500,530,510,520,970,990,960,980,970
COL11A1,210,230,200,220,210,890,920,870,900,880
EPCAM,450,470,440,460,450,1120,1150,1100,1130,1140
MKI67,200,210,190,220,200,980,1010,970,1000,990
GAPDH,880,870,890,860,880,890,870,880,890,880
ACTB,850,860,840,870,850,860,870,850,860,870
EGFR,510,500,520,510,510,940,960,930,950,940
