gene,log2FoldChange,pvalue,padj,direction
MKI67,7.86,9.75526076792993e-84,9.755260767929929e-83,Tumor up
COL11A1,6.78,1.18039496820126e-78,5.90197484100629e-78,Tumor up
EPCAM,6.74,1.88437138885779e-78,6.281237962859309e-78,Tumor up
FAM83A,6.56,1.59991132827117e-77,3.99977832067792e-77,Tumor up
B3GNT3,5.86,1.17270507459157e-73,2.34541014918313e-73,Tumor up
CRABP2,4.58,2.87218471176748e-65,4.78697451961246e-65,Tumor up
PYCR1,4.42,4.58135745817618e-64,6.54479636882311e-64,Tumor up
EGFR,4.34,1.8963312279548302e-63,2.37041403494354e-63,Tumor up
ACTB,0.080000000000001,0.340484896679506,0.378316551866117,Tumor up
GAPDH,0.0600000000000004,0.474116446188018,0.474116446188018,Tumor up
