"gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGR","ENSG00000000938",1341.65854278321,-2.09572008215754,0.13685278698729,-15.3136821565218,6.19548990652505e-53,1.94143434146152e-51
"CFTR","ENSG00000001626",1073.44774239514,-1.22711227832355,0.247658525561064,-4.95485578598014,7.23839550974792e-07,1.56251189354469e-06
"CYP26B1","ENSG00000003137",294.94988333562,-1.09063257212461,0.172882045157802,-6.3085358061857,2.81687568693237e-10,8.13860110871642e-10
"HSPB6","ENSG00000004776",125.15919972957,-2.51134736877369,0.202435970120673,-12.4056380260715,2.4356484397344e-35,3.25717918775543e-34
"PDK4","ENSG00000004799",3222.24383252177,-2.38195010619916,0.190603743402322,-12.4968694931212,7.76492235101759e-36,1.06302796960029e-34
"ZMYND10","ENSG00000004838",448.639852725081,-1.96739944143212,0.249784835321025,-7.87637663793164,3.37011337926411e-15,1.38369524312007e-14
"SLC4A1","ENSG00000004939",9.2869577136293,-3.39410705519033,0.226535245415411,-14.9826886715414,9.52830520019137e-51,2.74099622101325e-49
"MEOX1","ENSG00000005102",66.0685219529915,-1.17197897096911,0.213434342704117,-5.49105151551839,3.99547782544262e-08,9.66095739603309e-08
"ITGAL","ENSG00000005844",1819.83287335046,-1.20061354951714,0.13580661506852,-8.84061169561867,9.51959655515722e-19,4.94869672171494e-18
"CX3CL1","ENSG00000006210",5060.61940582735,-1.08060974940583,0.19370361439616,-5.57867623056216,2.423558585044e-08,5.95751253773765e-08
"ETV1","ENSG00000006468",2222.16840729913,-1.13880232769107,0.157746352390382,-7.21919911576033,5.22946374498329e-13,1.85252018984332e-12
"TBXA2R","ENSG00000006638",138.593024975047,-1.00994113138752,0.11460985622588,-8.81199195815294,1.22941447023069e-18,6.35777835717853e-18
"ARHGAP44","ENSG00000006740",1016.36919857822,-1.64948790888035,0.146820246399609,-11.2347441809275,2.75290084870046e-29,2.68434086571103e-28
"CEACAM21","ENSG00000007129",156.839137789641,-1.61598062964276,0.15470185011751,-10.4457744261964,1.53199852143993e-25,1.20391138299855e-24
"DNAH9","ENSG00000007174",413.50578635979,-1.9844070584272,0.341353025444647,-5.81335717133987,6.12322185086026e-09,1.58030879240506e-08
"GAS7","ENSG00000007237",1768.17231909252,-1.08667462429387,0.125337618451125,-8.66997983305077,4.32196928116436e-18,2.1559240688005e-17
"MATK","ENSG00000007264",252.431145688754,-1.11613777762155,0.15041807833005,-7.42023691575493,1.16911015940062e-13,4.32655389496491e-13
"CACNA2D2","ENSG00000007402",3326.26920472006,-2.37014225182867,0.245859277363006,-9.64023923461387,5.40618349475503e-22,3.47959860689395e-21
"SELE","ENSG00000007908",224.767003252454,-2.9492494336865,0.223028855073448,-13.2236227133716,6.41006572054813e-40,1.07493257673634e-38
"FMO3","ENSG00000007933",599.451691031561,-1.13177511751262,0.161401757584063,-7.01216104739852,2.34664857184834e-12,7.93585010320967e-12
"CDKL5","ENSG00000008086",1085.54662810207,-1.0447781645931,0.111560478176021,-9.365128060357,7.59581236899597e-21,4.52135298464554e-20
"DLEC1","ENSG00000008226",305.577255811481,-1.05686976672205,0.23948120940335,-4.41316364384147,1.01870935607658e-05,1.98906225537738e-05
"PGLYRP1","ENSG00000008438",5.57480579267582,-2.0093301425231,0.240495880346056,-8.35494620378452,6.54625391293416e-17,3.00878811364323e-16
"NFIX","ENSG00000008441",4270.36631300483,-1.44756925099813,0.146510772278903,-9.88029227122279,5.06848621270867e-23,3.49077843741325e-22
"SEMA3G","ENSG00000010319",705.294871964909,-3.22059469116848,0.138903466093397,-23.1858482854776,6.32595269226804e-119,6.65825126604424e-116
"SLC6A13","ENSG00000010379",21.0643813974023,-2.64771538336977,0.226385876612519,-11.6955855329332,1.34257977139176e-31,1.48563882804655e-30
"BTK","ENSG00000010671",755.060416710082,-1.38490138953103,0.128966020344046,-10.7384982946398,6.71273615605931e-27,5.72775336387073e-26
"ANOS1","ENSG00000011201",2457.11118171508,-2.78772215539228,0.164596295347934,-16.9367247877567,2.4118419842104e-64,1.18233119516375e-62
"DCN","ENSG00000011465",21567.6133613715,-1.46112184764858,0.144991927381133,-10.0772634314171,6.96386171867315e-24,5.02437006984753e-23
"TYROBP","ENSG00000011600",4263.08600633628,-1.48533728270907,0.149290989269854,-9.94927617516293,2.54024064362213e-23,1.77826783397225e-22
"SEMA3B","ENSG00000012171",2128.01028667217,-1.54341148851534,0.199171710017436,-7.74915015983058,9.25095727455609e-15,3.70224510207184e-14
"ALOX5","ENSG00000012779",2981.1095966174,-1.82506486574224,0.139121633264704,-13.1184836097325,2.58046675981652e-39,4.18227280193813e-38
"CALCOCO1","ENSG00000012822",3900.12196793894,-1.20858352941534,0.0834911239355691,-14.475593002533,1.72828741742199e-47,4.15648477956072e-46
"CLDN11","ENSG00000013297",237.53450901968,-1.23937600034822,0.208613469598816,-5.94101619004594,2.83260634285754e-09,7.52432085699969e-09
"GPRC5A","ENSG00000013588",31823.6022239856,-1.32690763123807,0.154936133571111,-8.56422321026271,1.08806876219599e-17,5.29331548721394e-17
"IL20RA","ENSG00000016402",512.908028344806,-1.72422741051999,0.191444242137987,-9.00642083180133,2.12891010934857e-19,1.15118128094814e-18
"SLC11A1","ENSG00000018280",1930.61348801603,-1.8164497438151,0.149703446102983,-12.1336535069844,7.005282958439e-34,8.66244146339661e-33
"WWTR1","ENSG00000018408",4438.89210247651,-1.02900523836097,0.0944949876869177,-10.8895219053342,1.29317348415501e-27,1.1437841399894e-26
"ATP1A2","ENSG00000018625",144.965402811631,-2.2767099126859,0.208077464986538,-10.9416457607901,7.28650377869407e-28,6.54833812718096e-27
