"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","collagen-containing extracellular matrix","210/4983","429/19886",3.87012287158444e-27,2.67812502713643e-24,1.99209482547873e-24,"DCN/SEMA3B/MARCO/MYOC/VCAN/TNC/COL9A2/LAMC3/ENTPD2/CBLN4/F7/COL11A1/COL17A1/FGFR2/FGF10/SPP2/ADAM11/NTN4/FBLN1/COL4A4/COL19A1/FCN1/ACHE/LTBP4/P3H2/CMA1/COL9A3/TGFB2/TIMP3/PDGFB/CTSG/COCH/MMP9/COL20A1/ANGPT4/MXRA5/SRPX/TIMP1/SRPX2/CBLN1/FGL1/CLC/APLP1/COMP/WNT2/PTPRZ1/OGN/ECM2/AMBP/CXCL12/COL1A1/SOD3/HPX/APOA4/APOC3/MDK/VWF/COL9A1/THBS4/KNG1/HRG/COL7A1/EFEMP1/TNR/ANGPTL1/PRG4/MFAP2/MMP8/APOA1/CCN2/ITIH5/COL10A1/SLPI/NDP/AMELX/CFP/PZP/LOXL1/NCAN/GDF15/COL5A1/F12/RTBDN/MATN3/EMILIN2/ITGB4/BCAN/APCS/ANGPTL3/POSTN/LOXL2/ADAMDEC1/WNT2B/ADAMTS8/AGT/SERPINE2/IGFBPL1/TINAG/SULF1/CILP/MMRN1/FRAS1/FBN2/COL2A1/INHBE/FBLN5/PCSK6/HAPLN3/CDH13/FCN3/CCN1/DPT/HDGF/ECM1/ADAMTSL4/S100A7/LEFTY2/AHSG/SFRP2/GPC3/HMCN2/SERPING1/SERPINH1/ZP1/SPARCL1/ABI3BP/ANGPT1/ADAMTS1/ACAN/COLEC12/ADAMTS4/LAD1/C1QC/AZGP1/S100A9/COL6A3/PF4/CPA3/CLEC3B/COL1A2/SBSPON/CTHRC1/ADAMTS15/MFAP4/GREM1/KRT1/ANGPTL4/SOST/TNXB/COL3A1/NPNT/COL4A3/COL22A1/SDC2/MUC17/CDH2/COL24A1/FGG/FGA/FGB/LGALS4/ANGPTL7/LAMB2/LRRC15/TPSAB1/COL6A5/ADAMTS20/MMRN2/C1QB/C1QA/MST1/ZG16/A2M/CLEC14A/GPC5/F2/SNORC/COL18A1/FREM3/EFNA5/THBS2/ANGPTL5/AMTN/THSD4/EYS/ZP3/SERPINA5/COL25A1/VWC2/PRELP/S100A4/LAMB3/TPSB2/COL13A1/SPN/SMOC1/MUC2/L1CAM/COL11A2/COL5A2/PRSS1/VIT/COL6A6/GPC2/COL28A1/ORM2/ORM1/ANXA8/GDF10/MMP28",210
"GO:0034702","monoatomic ion channel complex","141/4983","300/19886",1.03864448341895e-16,3.59370991262957e-14,2.67314290732561e-14,"CFTR/CACNA1G/SCN4A/CACNA2D2/GABRA3/KCNG1/ANO2/KCNH2/TRPC7/KCNAB2/CNGB1/TRPC5/KCNQ2/CACNG5/CACNA1S/KCNK2/KCNH4/GABRP/HCN2/CACNA1I/CHRNA4/GABRE/KCNN4/KCNA7/GRIN2D/CACNG7/KCNN1/GRIK5/PKD2L1/CACNG1/GABRA4/GABRR2/CLIC5/GABRG2/CLCN2/GRIN3B/CHRNB4/CASQ2/OLFM3/GRIA2/KCNJ5/CHRNA2/KCNJ8/BEST3/KCNC1/KCNA5/DPP6/CACNG6/CNGA4/CATSPERB/KCNK1/CHRND/TTYH3/SCN7A/CHRNA1/TRPC3/BEST4/KCNA10/HCN3/CNGA3/SCN1A/GLRA3/GABRR1/CHRNA6/CACNA1B/HTR3B/GRIK4/SCN2B/GRID2/GRIA4/SCN3A/KCNJ16/GRIA1/C2CD6/MICU3/KCNJ6/CACHD1/CLIC6/CHRNB2/GRIN2C/SCNN1D/KCNF1/GABRB1/ABHD6/GRIK2/HCN1/KCNV1/KCNC2/SCN3B/HTR3A/SCNN1G/CACNB3/TTYH1/KCNJ4/KCNV2/KCNAB1/CLIC3/CHRNA5/CHRNB1/CNGB3/KCNMB3/LRRC8C/CHRNA9/CNTNAP2/CATSPERD/DPP10/GRIN1/SCN4B/HTR3C/KCNG2/KCNE1/KCNIP1/KCNA4/GABRG3/CACNB4/GABRR3/GRIN2A/SCN5A/KCNQ3/KCND2/LRRC26/STAC3/KCNQ5/GABRA5/CLCNKA/TMEM262/GABRD/CLCN1/VWC2/CATSPER4/CLDN4/ATP2A1/SCN8A/KCNMB2/CACNA1E/CNGA1/SLC5A3/SLC26A6/SHISA8/TMEM249/GABRQ",141
"GO:0016324","apical plasma membrane","173/4983","403/19886",2.03280441098148e-15,4.68900217466394e-13,3.48786441042085e-13,"CFTR/ZMYND10/ABCB4/PROM1/CEACAM7/DPEP1/NPC1L1/SLC7A9/ABCC2/CD44/CASR/DSG2/SLC9A3/ASPM/HYAL2/CYBRD1/ABCB11/CDHR2/CA12/CEACAM1/PTPRH/KCNK2/FAT1/SLCO1A2/ABCB1/AQP6/CEACAM6/SLC15A1/SLC4A11/SI/SLC26A4/SLC26A3/TF/CDHR5/SLC16A8/UPK3A/SPEF1/SLC52A3/GPR143/SLC7A5/ANXA13/CEACAM5/UPK1A/ATP4A/HPN/ATP6V0A4/SLC1A1/SLC2A9/SLC22A18/CLIC5/GNAT1/UPK1B/IGFBP2/SLC9A2/LCT/PARD3B/SLC2A1/ABCG2/ECRG4/EPCAM/TEK/ABCC11/GJB6/CNTFR/HVCN1/PARD6B/SLC17A1/PODXL/ATP1B2/KCNA5/SLC6A8/SLC34A1/ACY3/SLC14A2/KL/DSG1/CBLIF/CD36/KCNK1/LMO7/MYO7A/SLCO2B1/DUOX1/SLC5A6/PRKG2/SLC39A8/SLC24A4/RHCG/SLC16A3/SLC2A5/ATP1B1/ADCY10/AQP10/PSEN2/ABCG8/SLC17A4/ATP6V0D2/SLC39A4/SLC5A12/SLC22A8/PTPRO/KCNE4/GJA1/THY1/ENPP3/PROM2/SLC16A1/ADCY8/SLC28A1/SHROOM4/SLC5A11/PTH1R/CD300LG/AQP5/KNCN/PDPN/DDR2/SLC15A2/SLC2A2/F2RL2/SLC6A18/SLC29A4/KCNC2/AMN/SCNN1G/CA4/SLC22A11/ADRB2/GP2/P2RY1/MUC17/KISS1/CDH2/PKHD1/P2RY6/MAL/LRRC15/SLC19A1/MUC13/SPTBN2/CD34/MUC20/SLC9A4/KCNE1/IGSF5/ATP4B/CYP4F2/SAPCD2/P2RY4/P2RX2/NHS/OTOG/SLC38A3/PLET1/CLDN4/AJAP1/SLC22A4/DPP4/LHFPL5/SLC34A3/STK39/SLC5A3/BMPR2/AGER/EMP2/GNAT3/SLC26A6/AJM1/AQP1/MGAM/ITGB3/FXYD1/GPIHBP1",173
"GO:0045177","apical part of cell","190/4983","469/19886",7.73566464357625e-14,1.33826998333869e-11,9.95457897554944e-12,"CFTR/ZMYND10/ABCB4/USH1C/PROM1/CEACAM7/DPEP1/NPC1L1/SLC7A9/ABCC2/CD44/CASR/DSG2/SLC9A3/ASPM/HYAL2/ADGRF5/VASH1/CYBRD1/ABCB11/CDHR2/CA12/ITGA8/FAP/CEACAM1/PTPRH/KCNK2/FAT1/SLCO1A2/ABCB1/AQP6/CEACAM6/SLC15A1/SLC4A11/SI/SLC26A4/SLC26A3/TF/CDHR5/SLC16A8/UPK3A/SPEF1/SLC52A3/GPR143/SLC7A5/CA2/PLAT/ANXA13/CEACAM5/UPK1A/ATP4A/HPN/ATP6V0A4/SLC1A1/SLC2A9/SLC22A18/BYSL/CLIC5/GNAT1/UPK1B/IGFBP2/SLC9A2/LCT/PARD3B/SLC2A1/ABCG2/ECRG4/EPCAM/TEK/ABCC11/GJB6/CNTFR/HVCN1/PARD6B/SLC17A1/PODXL/ATP1B2/KCNA5/LDLR/SLC6A8/SLC34A1/TUBG1/ACY3/SLC14A2/KL/CHL1/DSG1/CBLIF/CD36/KCNK1/LMO7/MYO7A/SLCO2B1/DUOX1/SPTBN5/SLC5A6/PRKG2/SLC39A8/SLC24A4/RHCG/SLC16A3/SLC2A5/ATP1B1/ADCY10/AQP10/PSEN2/ABCG8/SLC17A4/ATP6V0D2/SLC39A4/SLC5A12/SLC22A8/SLC7A11/PTPRO/KCNE4/GJA1/THY1/ENPP3/PROM2/SLC16A1/ADCY8/SLC28A1/SHROOM4/SLC5A11/PTH1R/CD300LG/AQP5/KNCN/PDPN/DDR2/SLC15A2/SLC2A2/F2RL2/SLC6A18/SLC29A4/KCNC2/AMN/DCHS1/SCNN1G/CA4/SLC22A11/ADRB2/GP2/P2RY1/MUC17/MYO7B/KISS1/CDH2/PKHD1/P2RY6/MAL/LRRC15/SLC19A1/MUC13/SPTBN2/CD34/MUC20/SLC9A4/KCNE1/IGSF5/ATP4B/CYP4F2/SAPCD2/P2RY4/P2RX2/NHS/OTOG/SLC38A3/INSC/PLET1/CLDN4/AJAP1/SLC22A4/C5AR1/DPP4/LHFPL5/SLC34A3/STK39/SLC5A3/BMPR2/AGER/EMP2/GNAT3/SLC26A6/AJM1/AQP1/MGAM/ITGB3/FXYD1/GPIHBP1",190
"GO:0045211","postsynaptic membrane","125/4983","275/19886",1.20735278384234e-13,1.67097625283779e-11,1.24293791852401e-11,"GABRA3/ANK1/MUSK/CDH10/CACNG5/ACTN2/ITGA8/IGSF9B/OPRK1/RPH3A/GABRP/P2RX6/CHRNA4/SYNDIG1/GABRE/CBLN1/GRIN2D/CACNG7/GRIK5/RGS9/P2RX1/SLC6A4/GABRA4/LIN7A/GABRR2/GABRG2/DBN1/GRIN3B/OPRD1/FBXO2/CHRNB4/SLC16A7/PCDH17/GRIA2/IQSEC3/CHRNA2/FLRT3/LRRC4/KCNC1/SYNE1/PRR7/LRRC4B/PDLIM4/SLC6A11/EPHB2/ADGRB3/CHRND/PCDH8/DGKB/GABBR2/FXYD6/CHRNA1/SLC6A3/GLRA3/GABRR1/CHRNA6/HTR3B/GRIK4/CNKSR2/ADRA2A/GPR158/PTPRO/GRID2/GRIA4/UTRN/GRIA1/GRIP1/SORCS3/LRFN2/LHFPL4/CLSTN2/CHRNB2/GRIN2C/TAMALIN/LRRTM1/GABRB1/ADORA1/ABHD6/GRIK2/HCN1/KCNC2/NETO1/HTR3A/KCNJ4/CHRM1/GSG1L/CHRNA5/P2RY1/CHRNB1/NETO2/LRFN4/CHRNA9/LRRTM4/GRIN1/SLITRK1/ERBB4/KCTD12/CHRM4/SCRIB/CHRM2/DDN/GABRG3/GRID1/GABRR3/GRIN2A/KCTD16/CNTN2/KCND2/SEMA4B/GABRA5/DCC/GABRD/PTPRT/TRPV1/CHRNG/SCN8A/COL13A1/ARC/GRM3/GRID2IP/SHISA8/SHANK3/ITGB3/GABRQ/GPR179",125
"GO:0097060","synaptic membrane","162/4983","393/19886",9.93815573342847e-13,1.14620062792208e-10,8.52589149762547e-11,"SLC6A7/SYT7/GABRA3/ANK1/MUSK/CDH10/SYT1/ADAM11/CACNG5/ACTN2/ITGA8/RIMS1/IGSF9B/OPRK1/RPH3A/GABRP/P2RX6/RIMS4/CHRNA4/SYNDIG1/GABRE/SRPX2/CBLN1/SLC1A6/GRIN2D/CACNG7/GRIK5/STX1A/DNM1/RGS9/P2RX1/SLC6A4/GABRA4/CRYAB/NECTIN1/LIN7A/GABRR2/GABRG2/DBN1/SLC5A7/GRIN3B/OPRD1/FBXO2/CHRNB4/CNR1/SLC16A7/PCDH17/GRIA2/IQSEC3/CHRNA2/KCNJ8/FLRT3/PRKCG/LRRC4/KCNC1/UNC13A/SYNE1/PRR7/LRRC4B/PDLIM4/SLC6A11/EPHB2/CNTN6/ADGRB3/STX11/KCNK1/CHRND/PCDH8/DGKB/GABBR2/FXYD6/UNC13C/CHRNA1/SLC6A3/PSEN2/GLRA3/GABRR1/CHRNA6/HTR3B/GRIK4/CNKSR2/ADRA2A/GPM6A/GPR158/PTPRO/GRID2/GRIA4/UTRN/CNTNAP4/PTPRD/GRIA1/ADCY8/GRIP1/SORCS3/LRFN2/LHFPL4/DGKI/CLSTN2/CHRNB2/GRIN2C/TAMALIN/SLC1A7/NTNG1/LRRTM1/GABRB1/ADORA1/ABHD6/GRIK2/IL31RA/HCN1/GPER1/KCNC2/NETO1/HTR3A/KCNJ4/CHRM1/GSG1L/CHRNA5/P2RY1/CHRNB1/NETO2/LRFN4/CHRNA9/CNTNAP2/LRRTM4/RIMS2/GRIN1/SLITRK1/ERBB4/KCTD12/CHRM4/SCRIB/CHRM2/DDN/GABRG3/GRID1/GABRR3/GRIN2A/KCTD16/NIPSNAP1/CNTN2/KCND2/SEMA4B/KCNQ5/GABRA5/PDE2A/P2RY4/DCC/GABRD/PTPRT/TRPV1/CHRNG/SCN8A/COL13A1/ARC/GRM3/GRID2IP/SHISA8/SHANK3/ITGB3/GABRQ/GPR179",162
"GO:0043505","CENP-A containing nucleosome","18/4983","18/19886",1.4824297772935e-11,1.28230175735888e-09,9.53826527758581e-10,"CENPA/H2BC11/H4C8/H4C3/H4C11/H4C16/H4C15/H4C14/H4C12/H4C6/H4C13/H4C9/H4C5/H2AC8/H4C4/H2AC4/H4C1/H4C2",18
"GO:0061638","CENP-A containing chromatin","18/4983","18/19886",1.4824297772935e-11,1.28230175735888e-09,9.53826527758581e-10,"CENPA/H2BC11/H4C8/H4C3/H4C11/H4C16/H4C15/H4C14/H4C12/H4C6/H4C13/H4C9/H4C5/H2AC8/H4C4/H2AC4/H4C1/H4C2",18
"GO:0005581","collagen trimer","50/4983","86/19886",6.86322557920665e-11,5.27705788979e-09,3.925283401441e-09,"MARCO/MSR1/COL9A2/COL11A1/COL17A1/COL4A4/COL19A1/FCN1/COL9A3/COL20A1/COL1A1/COL9A1/COL7A1/SFTPA1/COL10A1/COL5A1/C1QL1/EMILIN2/C1QTNF6/SFTPD/COL2A1/FCN3/C1QL2/C1QTNF2/COLEC12/C1QC/C1QTNF7/COL6A3/COL1A2/CTHRC1/COL3A1/COL4A3/COL22A1/COL24A1/COL6A5/C1QB/C1QA/COL18A1/CCBE1/COLEC10/SFTPA2/GLDN/C1QL4/COL25A1/COL13A1/COL11A2/COL5A2/C1QTNF9B/COL6A6/COL28A1",50
"GO:0034506","chromosome, centromeric core domain","18/4983","19/19886",2.14979178726272e-10,1.4876559167858e-08,1.10657703575944e-08,"CENPA/H2BC11/H4C8/H4C3/H4C11/H4C16/H4C15/H4C14/H4C12/H4C6/H4C13/H4C9/H4C5/H2AC8/H4C4/H2AC4/H4C1/H4C2",18
