"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022839","monoatomic ion gated channel activity","161/4787","325/18496",2.83571920179405e-20,2.53901412866027e-17,2.07946006889581e-17,"CFTR/CACNA1G/SCN4A/CACNA2D2/NOX1/GABRA3/KCNG1/KCNH2/KCNAB2/CNGB1/TRPM5/KCNQ2/CACNG5/CACNA1S/KCNK2/P2RX5/KCNH4/MCOLN1/GABRP/HCN2/P2RX6/CACNA1I/KCNK10/CHRNA4/GABRE/TRPA1/KCNN4/KCNA7/GRIN2D/CACNG7/KCNN1/GRIK5/KCNT1/PKD2L1/P2RX1/CACNG1/GABRA4/P2RX3/ASIC1/GABRR2/OPRM1/CLIC5/GABRG2/CLCN2/KCNJ13/GRIN3B/GPR89A/CHRNB4/GRIA2/KCNJ5/CHRNA2/KCNJ8/HVCN1/KCNK15/KCNC1/KCNA5/NALF2/CACNG6/CNGA4/KCNK1/CHRND/SCN7A/CHRNA1/TRPC3/KCNH5/TRPM2/KCNA10/KCNN3/HCN3/CNGA3/SCN1A/TRPM8/GLRA3/GABRR1/CHRNA6/CACNA1B/HTR3B/GRIK4/TMC2/SCN2B/KCNJ1/KCNE4/GRID2/GRIA4/SCN3A/KCNJ16/GRIA1/KCNJ6/KCNJ15/CACHD1/CLIC6/CHRNB2/GRIN2C/SLC1A7/SCNN1D/KCNT2/KCNF1/GABRB1/GRIK2/HCN1/KCNK5/KCNV1/TMC1/CYBB/TMEM63C/KCNC2/SCN3B/HTR3A/SCNN1G/CACNB3/KCNJ4/KCNV2/KCNAB1/KCNK9/CLIC3/CHRNA5/CHRNB1/CNGB3/KCNMB3/KCNK3/CHRNA9/GRIN1/SCN4B/KCNJ10/HTR3C/KCNG2/KCNE1/KCNIP1/KCNA4/GABRG3/CACNB4/GRID1/CALHM3/GABRR3/GRIN2A/SCN5A/KCNH8/KCNQ3/KCNK12/KCND2/LRRC26/KCNQ5/GABRA5/CLCNKA/ZACN/GABRD/P2RX2/CLCN1/GPR89B/CATSPER4/TRPV1/CHRNG/SCN8A/KCNMB2/CACNA1E/CNGA1/KCNU1/AQP1/ASIC5/KCNJ18/GABRQ",161
"GO:0022836","gated channel activity","161/4787","326/18496",4.18979229151859e-20,2.53901412866027e-17,2.07946006889581e-17,"CFTR/CACNA1G/SCN4A/CACNA2D2/NOX1/GABRA3/KCNG1/KCNH2/KCNAB2/CNGB1/TRPM5/KCNQ2/CACNG5/CACNA1S/KCNK2/P2RX5/KCNH4/MCOLN1/GABRP/HCN2/P2RX6/CACNA1I/KCNK10/CHRNA4/GABRE/TRPA1/KCNN4/KCNA7/GRIN2D/CACNG7/KCNN1/GRIK5/KCNT1/PKD2L1/P2RX1/CACNG1/GABRA4/P2RX3/ASIC1/GABRR2/OPRM1/CLIC5/GABRG2/CLCN2/KCNJ13/GRIN3B/GPR89A/CHRNB4/GRIA2/KCNJ5/CHRNA2/KCNJ8/HVCN1/KCNK15/KCNC1/KCNA5/NALF2/CACNG6/CNGA4/KCNK1/CHRND/SCN7A/CHRNA1/TRPC3/KCNH5/TRPM2/KCNA10/KCNN3/HCN3/CNGA3/SCN1A/TRPM8/GLRA3/GABRR1/CHRNA6/CACNA1B/HTR3B/GRIK4/TMC2/SCN2B/KCNJ1/KCNE4/GRID2/GRIA4/SCN3A/KCNJ16/GRIA1/KCNJ6/KCNJ15/CACHD1/CLIC6/CHRNB2/GRIN2C/SLC1A7/SCNN1D/KCNT2/KCNF1/GABRB1/GRIK2/HCN1/KCNK5/KCNV1/TMC1/CYBB/TMEM63C/KCNC2/SCN3B/HTR3A/SCNN1G/CACNB3/KCNJ4/KCNV2/KCNAB1/KCNK9/CLIC3/CHRNA5/CHRNB1/CNGB3/KCNMB3/KCNK3/CHRNA9/GRIN1/SCN4B/KCNJ10/HTR3C/KCNG2/KCNE1/KCNIP1/KCNA4/GABRG3/CACNB4/GRID1/CALHM3/GABRR3/GRIN2A/SCN5A/KCNH8/KCNQ3/KCNK12/KCND2/LRRC26/KCNQ5/GABRA5/CLCNKA/ZACN/GABRD/P2RX2/CLCN1/GPR89B/CATSPER4/TRPV1/CHRNG/SCN8A/KCNMB2/CACNA1E/CNGA1/KCNU1/AQP1/ASIC5/KCNJ18/GABRQ",161
"GO:0030527","structural constituent of chromatin","66/4787","97/18496",3.39770138704521e-18,1.37267136036626e-15,1.12422189753812e-15,"CENPA/H2BW1/H1-3/H1-1/H2BC11/HMGA1/H2BC1/H2BC5/H4C8/H3-4/H1-4/H2AC6/H2BC4/H2AC25/H3C13/H2AC20/H2AC21/H1-5/H2BC21/H2BC13/H1-6/H1-2/H2AX/H1-0/H2AC13/H2AC11/H4C3/H3C12/H4C11/H4C16/H2BC12/H3C14/H2BC18/H2BC15/H2BC12L/H4C15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H4C6/H2BC17/H3C6/H2AC12/H4C13/H3C11/H2BC9/H3C1/H4C9/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3",66
"GO:0015276","ligand-gated monoatomic ion channel activity","82/4787","146/18496",6.99389716381314e-15,2.11915084063538e-12,1.73559079617784e-12,"CFTR/GABRA3/KCNH2/CNGB1/TRPM5/P2RX5/MCOLN1/GABRP/HCN2/P2RX6/CHRNA4/GABRE/TRPA1/GRIN2D/KCNN1/GRIK5/P2RX1/GABRA4/P2RX3/ASIC1/GABRR2/GABRG2/KCNJ13/GRIN3B/CHRNB4/GRIA2/KCNJ5/CHRNA2/KCNJ8/CNGA4/KCNK1/CHRND/CHRNA1/TRPM2/KCNA10/KCNN3/CNGA3/TRPM8/GLRA3/GABRR1/CHRNA6/HTR3B/GRIK4/KCNJ1/GRID2/GRIA4/KCNJ16/GRIA1/KCNJ6/KCNJ15/CHRNB2/GRIN2C/SLC1A7/SCNN1D/GABRB1/GRIK2/HCN1/HTR3A/SCNN1G/KCNJ4/CHRNA5/CHRNB1/CNGB3/CHRNA9/GRIN1/KCNJ10/HTR3C/GABRG3/GRID1/GABRR3/GRIN2A/GABRA5/ZACN/GABRD/P2RX2/TRPV1/CHRNG/CNGA1/AQP1/ASIC5/KCNJ18/GABRQ",82
"GO:0022834","ligand-gated channel activity","82/4787","147/18496",1.18272989825909e-14,2.77910108825508e-12,2.2760919977632e-12,"CFTR/GABRA3/KCNH2/CNGB1/TRPM5/P2RX5/MCOLN1/GABRP/HCN2/P2RX6/CHRNA4/GABRE/TRPA1/GRIN2D/KCNN1/GRIK5/P2RX1/GABRA4/P2RX3/ASIC1/GABRR2/GABRG2/KCNJ13/GRIN3B/CHRNB4/GRIA2/KCNJ5/CHRNA2/KCNJ8/CNGA4/KCNK1/CHRND/CHRNA1/TRPM2/KCNA10/KCNN3/CNGA3/TRPM8/GLRA3/GABRR1/CHRNA6/HTR3B/GRIK4/KCNJ1/GRID2/GRIA4/KCNJ16/GRIA1/KCNJ6/KCNJ15/CHRNB2/GRIN2C/SLC1A7/SCNN1D/GABRB1/GRIK2/HCN1/HTR3A/SCNN1G/KCNJ4/CHRNA5/CHRNB1/CNGB3/CHRNA9/GRIN1/KCNJ10/HTR3C/GABRG3/GRID1/GABRR3/GRIN2A/GABRA5/ZACN/GABRD/P2RX2/TRPV1/CHRNG/CNGA1/AQP1/ASIC5/KCNJ18/GABRQ",82
"GO:0005216","monoatomic ion channel activity","188/4787","443/18496",1.37579261794806e-14,2.77910108825508e-12,2.2760919977632e-12,"CFTR/CACNA1G/SCN4A/CACNA2D2/NOX1/GABRA3/CLCA1/KCNG1/ANO2/KCNH2/TRPC7/KCNAB2/CNGB1/TRPM5/TRPC5/KCNQ2/CACNG5/CACNA1S/KCNK2/P2RX5/SLC4A11/KCNH4/MCOLN1/GABRP/HCN2/P2RX6/CACNA1I/KCNK10/CHRNA4/GABRE/TRPA1/KCNN4/KCNA7/GRIN2D/CACNG7/KCNN1/GRIK5/SLC1A1/KCNT1/PKD2L1/P2RX1/SLC6A4/CACNG1/GABRA4/P2RX3/ASIC1/GABRR2/OPRM1/CLIC5/GABRG2/CLCN2/KCNJ13/SLC1A4/GRIN3B/GPR89A/CHRNB4/GRIA2/KCNJ5/CHRNA2/KCNJ8/HVCN1/KCNK15/BEST3/KCNC1/KCNA5/NALF2/CACNG6/CNGA4/NMUR2/TRPM1/KCNK1/CHRND/TTYH3/SCN7A/CHRNA1/TRPC3/KCNH5/SLC24A4/TRPM2/BEST4/KCNA10/KCNN3/HCN3/CNGA3/SCN1A/TRPM8/GLRA3/ANO7/GABRR1/CHRNA6/CACNA1B/HTR3B/GRIK4/TMC2/SCN2B/FXYD4/GPM6A/KCNJ1/KCNE4/GRID2/GRIA4/SCN3A/KCNJ16/GRIA1/SLC24A2/KCNJ6/KCNJ15/CACHD1/CLIC6/CHRNB2/GRIN2C/SLC1A7/SCNN1D/KCNT2/KCNF1/GABRB1/GRIK2/HCN1/KCNK5/KCNV1/TMC1/CYBB/TMEM63C/KCNC2/SCN3B/HTR3A/SCNN1G/CACNB3/TTYH1/TRPV3/KCNJ4/KCNV2/KCNAB1/KCNK9/CLIC3/CHRNA5/CHRNB1/CNGB3/KCNMB3/KCNK3/LRRC8C/CHRNA9/GRIN1/SCN4B/KCNJ10/HTR3C/KCNG2/KCNE1/KCNIP1/KCNA4/GABRG3/CACNB4/GRID1/CALHM3/GABRR3/GRIN2A/SCN5A/KCNH8/KCNQ3/KCNK12/KCND2/LRRC26/ANO9/KCNQ5/GABRA5/CLCNKA/ZACN/TRPV2/GABRD/P2RX2/CLCN1/GPR89B/CATSPER4/CLDN4/TRPV1/CHRNG/SCN8A/KCNMB2/CACNA1E/CNGA1/KCNU1/SLC26A6/AQP1/NOX5/ASIC5/KCNJ18/FXYD1/GABRQ",188
"GO:0005230","extracellular ligand-gated monoatomic ion channel activity","49/4787","74/18496",3.61163650682996e-13,6.25329063753988e-11,5.12146349765512e-11,"GABRA3/P2RX5/GABRP/P2RX6/CHRNA4/GABRE/GRIN2D/GRIK5/P2RX1/GABRA4/P2RX3/GABRR2/GABRG2/GRIN3B/CHRNB4/GRIA2/CHRNA2/CHRND/CHRNA1/GLRA3/GABRR1/CHRNA6/HTR3B/GRIK4/GRID2/GRIA4/GRIA1/CHRNB2/GRIN2C/SLC1A7/GABRB1/GRIK2/HTR3A/CHRNA5/CHRNB1/CHRNA9/GRIN1/HTR3C/GABRG3/GRID1/GABRR3/GRIN2A/GABRA5/ZACN/GABRD/P2RX2/TRPV1/CHRNG/GABRQ",49
"GO:0008528","G protein-coupled peptide receptor activity","70/4787","125/18496",7.87581653238964e-13,1.19318620465703e-10,9.77223025005714e-11,"CALCR/NPFFR2/CALCRL/GLP2R/GAL/ADCYAP1R1/OPRK1/NTSR1/GPR143/MLNR/CCKBR/OPRM1/NPR3/VIPR1/KISS1R/OPRD1/PRLHR/RAMP3/AVPR2/F2RL3/MCHR1/GALR3/RAMP2/RAMP1/INPP5K/SSTR4/NMUR2/RXFP2/APLNR/NMBR/EDNRB/LHCGR/GPR84/SSTR1/PTH2R/AGTR1/MCHR2/SORCS3/PTH1R/SSTR5/CCKAR/NPY5R/F2RL2/F2RL1/TSHR/MC4R/CX3CR1/NTSR2/NPR1/PROKR1/GPR37L1/GPR37/FPR2/FPR1/RXFP1/NMUR1/GPR151/MC5R/AGTR2/UTS2R/GALR2/NPY2R/MC2R/QRFPR/NPSR1/AVPR1B/MAS1L/LGR4/GCGR/NPBWR1",70
"GO:0001653","peptide receptor activity","71/4787","132/18496",7.38075693765256e-12,9.93941934270545e-10,8.14041379205423e-10,"CALCR/NPFFR2/CALCRL/GLP2R/GAL/GUCY2C/ADCYAP1R1/OPRK1/NTSR1/GPR143/MLNR/CCKBR/OPRM1/NPR3/VIPR1/KISS1R/OPRD1/PRLHR/RAMP3/AVPR2/F2RL3/MCHR1/GALR3/RAMP2/RAMP1/INPP5K/SSTR4/NMUR2/RXFP2/APLNR/NMBR/EDNRB/LHCGR/GPR84/SSTR1/PTH2R/AGTR1/MCHR2/SORCS3/PTH1R/SSTR5/CCKAR/NPY5R/F2RL2/F2RL1/TSHR/MC4R/CX3CR1/NTSR2/NPR1/PROKR1/GPR37L1/GPR37/FPR2/FPR1/RXFP1/NMUR1/GPR151/MC5R/AGTR2/UTS2R/GALR2/NPY2R/MC2R/QRFPR/NPSR1/AVPR1B/MAS1L/LGR4/GCGR/NPBWR1",71
"GO:0005244","voltage-gated monoatomic ion channel activity","96/4787","200/18496",1.22121810604972e-11,1.34556031321115e-09,1.10201786986114e-09,"CACNA1G/SCN4A/CACNA2D2/NOX1/KCNG1/KCNH2/KCNAB2/TRPM5/KCNQ2/CACNG5/CACNA1S/KCNK2/KCNH4/HCN2/CACNA1I/KCNK10/KCNA7/GRIN2D/CACNG7/KCNN1/KCNT1/CACNG1/OPRM1/CLIC5/CLCN2/KCNJ13/GRIN3B/GPR89A/KCNJ5/KCNJ8/HVCN1/KCNK15/KCNC1/KCNA5/CACNG6/KCNK1/SCN7A/KCNH5/KCNA10/KCNN3/HCN3/SCN1A/CACNA1B/TMC2/SCN2B/KCNJ1/KCNE4/SCN3A/KCNJ16/KCNJ6/KCNJ15/CACHD1/CLIC6/GRIN2C/KCNT2/KCNF1/HCN1/KCNK5/KCNV1/TMC1/CYBB/KCNC2/SCN3B/CACNB3/KCNJ4/KCNV2/KCNAB1/KCNK9/CLIC3/KCNK3/GRIN1/SCN4B/KCNJ10/KCNG2/KCNE1/KCNIP1/KCNA4/CACNB4/CALHM3/GRIN2A/SCN5A/KCNH8/KCNQ3/KCNK12/KCND2/LRRC26/KCNQ5/CLCNKA/CLCN1/GPR89B/CATSPER4/TRPV1/SCN8A/CACNA1E/KCNU1/KCNJ18",96
