"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","191/2389","371/9422",3.25845602005058e-28,1.1404596070177e-25,9.22657546730112e-26,"CALCR/TBXA2R/PRSS3/GABRA3/ADRB1/UTS2/NPFFR2/CALCRL/GLP2R/GAL/PRLH/EDN1/ADCYAP1R1/OPRK1/P2RX5/GABRP/P2RX6/CTSG/HRH3/NTSR1/AVP/CHRNA4/OXT/GPR50/GABRE/MLNR/LHB/GRIN2D/GRIK5/P2RX1/GABRA4/GNRHR/NMU/P2RX3/CCKBR/CALCA/GABRR2/OPRM1/TSPO2/GHR/GABRG2/PRLR/KNG1/VIPR1/GCG/KISS1R/GRIN3B/OPRD1/LEPR/CHRNB4/CNR1/PRLHR/GRIA2/CHRNA2/ADRA1A/IAPP/PTGFR/EDN3/GRM4/GNRH2/S1PR4/SLURP1/AVPR2/EDN2/F2RL3/ADM2/MCHR1/GALR3/VGF/SSTR4/NMUR2/RXFP2/NTS/APLNR/CGA/NMBR/AGT/CHRND/HTR2B/EDNRB/GH2/GABBR2/LHCGR/CHRNA1/SSTR1/PTH2R/AGTR1/UCN2/GLRA3/GABRR1/TAAR1/VIP/HTR2C/CHRNA6/CRH/GRIK4/LYPD6B/ADRA2A/THRB/MCHR2/GRID2/PTH/GRIA4/GRIA1/SST/HTR6/GIP/PTGIR/CHRNB2/PAQR6/PTH1R/GRIN2C/SSTR5/GABRB1/CCKAR/ADORA1/UCN/NPY5R/F2RL2/F2RL1/GRIK2/TSHR/MC4R/TAC3/PNOC/MTNR1A/CHRM1/HTR1E/NTSR2/ADRB2/CHRNA5/P2RY1/CHRNB1/KISS1/S1PR1/FPR2/FPR1/RLN3/APLN/RXFP1/PTGER4/NMUR1/P2RY6/ADRA1D/CHRNA9/TRHR/P2RY14/CALCB/MC5R/TAC4/GRIN1/HTR1A/UCN3/GPR35/HTR1D/F2/CHRM4/S1PR5/AGTR2/CHRM2/UTS2R/GABRG3/GALR2/GRID1/GABRR3/GRIN2A/NPW/NPY2R/MC2R/GABRA5/QRFPR/P2RY4/NPSR1/GABRD/P2RX2/CNR2/TRPV1/CHRNG/PATE2/C5AR1/AVPR1B/GRM3/PRSS1/GCGR/PATE4/CORT/INSL3/APELA/GABRQ/PRSS2/NPBWR1",191
NA,NA,"hsa04082","Neuroactive ligand signaling","96/2389","199/9422",1.7672400259005e-12,3.09267004532587e-10,2.50203982614333e-10,"SLC6A13/GABRA3/ADRB1/CHAT/OPRK1/P2RX5/ACHE/GABRP/P2RX6/HRH3/SLC17A9/CHRNA4/GABRE/SLC1A6/GRIN2D/GRIK5/SLC1A1/P2RX1/SLC6A4/GABRA4/P2RX3/SLC6A12/GNB3/GABRR2/OPRM1/GABRG2/SLC5A7/GRIN3B/OPRD1/CHRNB4/GRIA2/ADRA1A/GRM4/PRKCG/GNG13/GNG11/GNGT1/ADCY4/SLC6A11/HTR2B/GABBR2/SLC6A3/GLRA3/GABRR1/HTR2C/CHRNA6/HTR3B/GRIK4/ADRA2A/GRIA4/GRIA1/ADCY8/GNAQ/HTR6/AGRP/CHRNB2/GRIN2C/ADCY9/GNG3/SLC1A7/GABRB1/ADORA1/GRIK2/SLC18A2/MC4R/HTR3A/TAC3/GNGT2/PNOC/GNG4/CHRM1/HTR1E/ADRB2/P2RY12/P2RY1/P2RY6/ADRA1D/P2RY14/TAC4/GNG7/GRIN1/HTR3C/HTR1A/HTR1D/CHRM4/CHRM2/GABRG3/GABRR3/GRIN2A/GABRA5/P2RY4/SLC18A3/GABRD/P2RX2/GRM3/GABRQ",96
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","74/2389","143/9422",9.04654373484591e-12,1.05543010239869e-09,8.53866759534579e-10,"C8B/C6/CTSG/IFNG/C7/H2BW1/H2BC11/H2BC1/H2BC5/H4C8/C1QC/FCGR3B/H3-4/C1QB/C1QA/C8G/H2AC6/H2BC4/H2AC25/GRIN2A/H3C13/H2AC20/H2AC21/H2BC21/H2BC13/H2AX/H2AC13/H2AC11/H4C3/H3C12/H4C11/H4C16/H2BC12/HLA-DRB5/FCGR3A/H3C14/H2BC18/HLA-DOA/HLA-DRA/H2BC15/H2BC12L/LOC102724334/H4C15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H4C6/H2BC17/H3C6/H2AC12/H4C13/H3C11/H2BC9/H3C1/H4C9/H2AC14/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3",74
NA,NA,"hsa04382","Cornified envelope formation","100/2389","217/9422",1.89739003326173e-11,1.66021627910401e-09,1.34315241828265e-09,"CLDN11/DSG2/PKP2/COL17A1/CLDN18/PPP2R2C/COL4A4/PKP1/HAL/TGM1/KRT31/DSP/TGM5/EPHX3/CASP14/KRT23/KRT32/KRT18/COL7A1/ELOVL4/KRT36/KRT17/KRT34/KRT33B/ITGB4/DSG3/DSG1/DSC1/CLDN10/PCSK6/FURIN/PADI3/PADI1/S100A7/ABCA12/ST14/CERS3/CLDN12/CLDN14/IVL/SPRR3/SPRR2D/S100A9/S100A12/TMEM79/CLDN19/CLDN3/CLDN2/PPP2R3B/KRT80/KRT1/KRT24/COL4A3/SPRR1B/SPRR1A/KRT8/KRT78/KRT86/KRT75/KRT6C/KRT4/KRT72/KRT83/KRT19/KRT15/KRT38/KRT9/KRT20/KRT27/DSG4/ALOXE3/TCHHL1/CLDN5/S100A7A/PKP3/CLDN6/KRT6B/KRT79/CLDN24/KRT3/KRT16/KRT14/KRT12/S100A3/S100A16/CLDN4/KAZN/S100A4/S100A5/S100A2/KRT39/LAMB3/SPRR2E/KRT40/KRT6A/KRT81/CLDN9/SPRR2A/SPRR2F/ASPRV1",100
"Human Diseases","Substance dependence","hsa05034","Alcoholism","87/2389","191/9422",8.13816955606012e-10,5.69671868924208e-08,4.60877391701089e-08,"MAOB/HDAC10/GRIN2D/GNB3/GRIN3B/H2BW1/H2BC11/FOSB/GNG13/GNG11/GNGT1/DDC/SLC6A3/CREB3L4/H2BC1/CRH/NTRK2/SHC3/H2BC5/H4C8/GRIN2C/GNG3/SLC18A2/GNGT2/H3-4/GNG4/CALML6/GNG7/BDNF/GRIN1/CALML3/CALML5/TH/H2AC6/H2BC4/H2AC25/GRIN2A/H3C13/H2AC20/H2AC21/H2BC21/H2BC13/H2AX/H2AC13/H2AC11/H4C3/H3C12/H4C11/H4C16/H2BC12/H3C14/H2BC18/H2BC15/H2BC12L/LOC102724334/H4C15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H4C6/H2BC17/H3C6/H2AC12/H4C13/H3C11/H2BC9/H3C1/H4C9/H2AC14/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3",87
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","87/2389","195/9422",2.88539839286149e-09,1.43017614893253e-07,1.1570447640988e-07,"ITGAL/HDAC10/CTSG/TLR8/AQP9/PIK3R2/PPIF/VWF/SELPLG/NCF2/H2BW1/H2BC11/PRKCG/TLR4/PIK3R1/H2BC1/H2BC5/H4C8/NCF1/PADI4/FCGR3B/CAMP/CYBB/H3-4/FPR2/FPR1/FGG/FGA/FGB/SELP/H2AC6/H2BC4/H2AC25/H3C13/H2AC20/H2AC21/H2BC21/H2BC13/H2AX/H2AC13/H2AC11/H4C3/H3C12/H4C11/C5AR1/H4C16/H2BC12/FCGR3A/H3C14/H2BC18/AGER/H2BC15/H2BC12L/LOC102724334/ITGB3/H4C15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H4C6/H2BC17/H3C6/H2AC12/H4C13/H3C11/H2BC9/H3C1/H4C9/H2AC14/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3",87
"Cellular Processes","Cell motility","hsa04814","Motor proteins","87/2389","195/9422",2.88539839286149e-09,1.43017614893253e-07,1.1570447640988e-07,"DNAH9/MYO16/KIF26A/MYO3B/TUBA3D/KIF22/KIF3C/KIF4A/MYH7/MYO3A/TUBB1/MYL9/TNNC2/TUBB4A/KLC3/TNNT1/MYH1/KIF20A/TNNC1/DNAH6/KIF17/KIF14/TNNT2/KIF18A/DNAI1/KIF25/MYH2/TUBA4A/KIF1C/TNNI3/KIF1A/TNNT3/TNNI2/TUBG1/MYH8/MYH10/MYH11/MYO18B/BICDL1/KIF12/TUBB2A/TUBB2B/MYO7A/KIF23/KIF11/KIF20B/CENPE/MYO1F/KIF2C/TUBA3E/DYNLT5/DNAI4/KIF5A/STARD9/MYL3/BICDL2/DNAI3/KIF26B/ACTG2/KIF15/KIF6/TUBA1A/KIFC2/KIF5C/DYNLRB2/MYO7B/DNAI2/DNAH12/TUBB6/CAPZA3/TUBAL3/DYNLT2/DNAH14/KIF18B/DYNLT4/KIF19/MYL6B/MYH6/DNAH10/TUBA3C/KIF4B/KIFC1/TUBA4B/TUBB3/TUBB8/MYH4/MYO19",87
NA,NA,"hsa04081","Hormone signaling","95/2389","219/9422",3.26897405470292e-09,1.43017614893253e-07,1.1570447640988e-07,"CALCR/ADRB1/GUCY2C/PRLH/OPRK1/PTHLH/NOS1/THPO/RAPGEF4/AVP/OXT/MLNR/LHB/AMH/PIK3R2/HAMP/GNRHR/CCKBR/CALCA/GNB3/OPRM1/GHR/NPR3/PRLR/VIPR1/GCG/OPRD1/LEPR/PRLHR/SMAD9/ADRA1A/NPPB/IAPP/RAMP3/GNRH2/AVPR2/GNG13/GNG11/GNGT1/MCHR1/ADCY4/RAMP2/RAMP1/SSTR4/CGA/AGT/GH2/LHCGR/PRKG2/SSTR1/AGTR1/UCN2/PIK3R1/VIP/CRH/ADRA2A/THRB/MCHR2/PTH/ADCY8/GNAQ/SST/GIP/PTH1R/SSTR5/ADCY9/GNG3/NPPC/CCKAR/UCN/GPER1/TSHR/MC4R/GNGT2/PNOC/GNG4/ADRB2/NPR1/ADRA1D/TRHR/CALCB/MC5R/GNG7/UCN3/AGTR2/HEPHL1/GAST/MC2R/PRKG1/GUCA2A/AVPR1B/DIO2/DIO1/GCGR/ITGB3",95
NA,NA,"hsa04820","Cytoskeleton in muscle cells","99/2389","233/9422",5.7631402743215e-09,2.24122121779169e-07,1.81319851905554e-07,"DCN/ATP1A2/FHL1/VIM/MYOM2/VCAN/DSG2/COL9A2/PKP2/COL11A1/ENO1/ACTN2/FBLN1/ITGA8/NEBL/COL4A4/MYBPC2/MYH7/COL9A3/DSP/MYL9/TNNC2/SGCG/CKM/TNNT1/ATP1A3/COMP/ITGB8/PDLIM1/ENO3/COL1A1/SGCA/MYH1/COL9A1/THBS4/LMNB1/TNNC1/SPTBN1/FHL2/TNNT2/PDLIM2/LDB3/MYH2/ATP1B2/TNNI3/TNNT3/TNNI2/COL5A1/SYNE1/PDLIM4/ITGB4/MYH8/MYH10/MYBPH/MYH11/TMOD1/ITGA11/SPTBN5/TRIM54/MYPN/FBN2/FBN3/MYOM3/ITGA10/ATP1B1/ANKRD1/MYL3/ACTG2/XIRP2/ANKRD23/COL6A3/LMOD3/LMOD1/ITGA2/MYOZ3/COL1A2/COL3A1/COL4A3/SDC2/COL24A1/SYNPO2/COL6A5/SPTBN2/DES/SYNE3/LMNB2/C10orf71/MYOZ1/CAPZA3/NEB/THBS2/MYBPC1/MYH6/NRAP/COL11A2/COL5A2/COL6A6/ITGB3/MYH4",99
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","53/2389","103/9422",1.04750749984523e-08,3.6662762494583e-07,2.96610018377228e-07,"PRSS3/ATP1A2/SLC7A9/COL9A2/COL11A1/COL17A1/SLC9A3/CPB2/COL4A4/COL19A1/SLC15A1/CPA1/COL9A3/SLC8A3/COL20A1/KCNN4/ATP1A3/SLC1A1/COL1A1/COL9A1/MEP1A/COL7A1/KCNJ13/SLC8A2/COL10A1/ATP1B2/COL5A1/COL2A1/MEP1B/ATP1B1/SLC7A7/COL6A3/CPA3/KCNK5/COL1A2/COL3A1/CTRB2/COL4A3/COL22A1/COL24A1/COL6A5/COL18A1/COL25A1/MME/COL13A1/DPP4/COL11A2/COL5A2/PRSS1/COL6A6/COL28A1/CELA2B/PRSS2",53
