"gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC","neg_log10_padj","priority_score"
"FAM83A","ENSG00000147689",6219.67804710491,6.78640608774972,0.235775588542183,28.783327950576,3.46846411966057e-182,6.20612284930866e-178,6.78640608774972,177.20717963187,1202.59988264668
"PITX2","ENSG00000164093",327.307213372325,8.21980619250587,0.39371832160121,20.8773779159598,8.59826890159838e-97,1.83153363638452e-94,8.21980619250587,93.7371851010442,770.501494561632
"CYP24A1","ENSG00000019186",4144.50617664334,6.68336960503676,0.316856558856264,21.0927292436719,9.27530783183864e-99,2.21284110713452e-96,6.68336960503676,95.6550497694311,639.298052197295
"PYCR1","ENSG00000183010",3607.63722206785,3.69610076544586,0.131865293262954,28.0293675006313,7.12911340138143e-173,6.37806130454589e-169,3.69610076544586,168.195311310728,621.666818879988
"COL11A1","ENSG00000060718",3150.21751800855,6.26532687232904,0.296159259061262,21.1552625171615,2.46811822972693e-99,6.13361659507e-97,6.26532687232904,96.2122833747261,602.801404475808
"CRABP2","ENSG00000143320",7869.66516784994,5.56896969266704,0.24902922671019,22.3627152773838,9.08161344245677e-111,5.80347533306711e-108,5.56896969266704,107.236311857133,597.195770685762
"PRAME","ENSG00000185686",1066.62960261342,7.53458946508109,0.395587248660432,19.0465933636519,7.01194929840858e-81,6.63834967176851e-79,7.53458946508109,78.177939875079,589.038682184513
"CST1","ENSG00000170373",734.037093059976,6.83252007475073,0.343624077046137,19.8837058610225,5.63165477684168e-88,7.81141076914947e-86,6.83252007475073,85.1072705238786,581.497134361641
"TMPRSS11E","ENSG00000087128",590.432913938015,6.72275210362646,0.338360053221237,19.8686341358115,7.60439205853975e-88,1.04665682387271e-85,6.72275210362646,84.9801956907463,571.300789346553
"FGL1","ENSG00000104760",1757.42683912484,7.44708896772287,0.395409735916077,18.8338533204541,3.98668481737822e-79,3.46280346783245e-77,7.44708896772287,76.4605721562293,569.408683370434
"ABCA12","ENSG00000144452",587.225467512638,5.39830042347459,0.244229662040074,22.1033775274554,2.9328737344444e-108,1.45771971473371e-105,5.39830042347459,104.83632597262,565.937982893517
"MMP11","ENSG00000099953",6261.99055314787,5.51995268519919,0.254454406172453,21.6932878790792,2.37399012723981e-104,8.66893986667386e-102,5.51995268519919,101.062034009583,557.85764600289
"MYEOV","ENSG00000172927",903.087329675502,6.28512577107603,0.312486333702604,20.1132820645451,5.64613980537687e-90,9.10147563401877e-88,6.28512577107603,87.0408881892441,547.062929495565
"FGB","ENSG00000171564",6728.2921554279,8.6356226212213,0.506409940107874,17.0526325359683,3.3413906750429e-65,1.69850861785633e-63,8.6356226212213,62.7699322452744,542.05744682982
"PPP1R14D","ENSG00000166143",599.620396116574,6.00752374906032,0.296374531635097,20.2700404650725,2.36462329586549e-91,3.99152873895483e-89,6.00752374906032,88.3988607394671,531.058255282224
"TRPM8","ENSG00000144481",333.728123045202,6.66394643957023,0.348115198301734,19.1429345000736,1.10847627946248e-81,1.08977835540781e-79,6.66394643957023,78.9626618220699,526.202949108171
"B3GNT3","ENSG00000179913",2079.86290350245,4.34421463859279,0.182665479655008,23.7823514700068,5.0861466150087e-125,7.58386844852923e-122,4.34421463859279,121.120109208973,526.17175145358
"PTPRH","ENSG00000080031",726.84563742016,5.1876931529509,0.239048847854748,21.7013936670511,1.99038100403248e-104,7.43204427271121e-102,5.1876931529509,101.128891711913,524.625659099405
"SYT12","ENSG00000173227",1331.18078906004,5.70450488862087,0.277045334156312,20.5905105963717,3.33832387398468e-94,6.63695878635642e-92,5.70450488862087,91.1780308791959,520.125522885198
"SLC6A4","ENSG00000108576",1082.89694979364,-6.14669276251818,0.311047623325082,-19.7612593750448,6.41832826832005e-87,8.57038415709333e-85,6.14669276251818,84.0669997109162,516.734018689706
"EEF1A2","ENSG00000101210",2785.11578266443,6.35624539156786,0.328305519752775,19.3607630975998,1.65416898710445e-83,1.72081660966628e-81,6.35624539156786,80.7642654107031,513.357489820145
"TMPRSS4","ENSG00000137648",5352.97531812448,4.81631189043778,0.216848200469872,22.2105227527905,2.7175756321267e-109,1.51954939955134e-106,4.81631189043778,105.818285176727,509.653865122404
"TFF1","ENSG00000160182",1028.77567683017,8.12177082193621,0.479552900696462,16.9361311549588,2.43629780472312e-64,1.19105673824893e-62,8.12177082193621,61.9240675495823,502.933084999804
"VIL1","ENSG00000127831",1142.27143238787,7.0165701617274,0.385148452263269,18.2178329433639,3.72622374733668e-74,2.76652786353092e-72,7.0165701617274,71.558064951361,502.092183368671
"ZYG11A","ENSG00000203995",142.993424636579,5.4484870749673,0.263716937940874,20.6603607546394,7.877362386863e-95,1.60170051350159e-92,5.4484870749673,91.7954186851886,500.146152247462
"BARX1","ENSG00000131668",686.171792399291,7.53874634155397,0.43015925744767,17.5254773924541,9.15697367849149e-69,5.44337973519097e-67,7.53874634155397,66.2641313678425,499.548477925574
"PAEP","ENSG00000122133",3180.80417808278,7.45518370513986,0.425399841126667,17.5251210376452,9.21452614570242e-69,5.45945418294879e-67,7.45518370513986,66.2628507743617,494.001725349135
"GREM1","ENSG00000166923",2721.24396747991,5.04227541848878,0.236191515347557,21.3482495807229,4.04819426678744e-101,1.13178656274418e-98,5.04227541848878,97.9462354665773,493.871895426637
"ATP10B","ENSG00000118322",732.204446124008,5.515622435194,0.271014284446182,20.3517775694561,4.47740620068476e-92,8.09234637867196e-90,5.515622435194,89.091925536291,491.3974232826
"FAM107A","ENSG00000168309",1690.00152074688,-4.54221434661921,0.20339954319276,-22.3314874523321,1.82742889944514e-110,1.12752363095765e-107,4.54221434661921,106.947874347289,485.780169200683
"ETV4","ENSG00000175832",1976.53923834742,3.85760330883898,0.15924548109927,24.2242560492767,1.23533687947479e-129,3.15769754063464e-126,3.85760330883898,125.500629471137,484.131643509233
"SPINK1","ENSG00000164266",8947.59942583942,6.66599434473977,0.3635570618258,18.3354830497937,4.311692130349e-75,3.28294073567381e-73,6.66599434473977,72.4837369571738,483.176180642126
"COL10A1","ENSG00000123500",2760.97644635241,4.63679861851063,0.211766867922354,21.8957699285176,2.85048624660121e-106,1.27509376026089e-103,4.63679861851063,102.894457879491,477.100880148026
"TOP2A","ENSG00000131747",5246.33055028419,3.85206229789166,0.160189308681746,24.0469375240559,8.98690780924354e-128,1.60802741430795e-124,3.85206229789166,123.793706551495,476.861069723277
"HTR3A","ENSG00000166736",383.338843491756,5.96536659104625,0.315555426025036,18.9043385062026,1.05048660466699e-79,9.3051271372804e-78,5.96536659104625,77.0312776886652,459.51981038957
"RTKN2","ENSG00000182010",2072.09371208104,-4.05229344026554,0.176999568779785,-22.8943689987585,5.28685576626852e-116,4.50465286789727e-113,4.05229344026554,112.346338670471,455.2603312322
"MEX3A","ENSG00000254726",1301.18420650624,4.169121896061,0.185173647116127,22.5146610275837,2.98210274221371e-112,2.05226016793961e-109,4.169121896061,108.687767583941,453.132551668198
"DMBX1","ENSG00000197587",102.283107278425,6.34379075410414,0.350557215300967,18.0963063295039,3.40767593615337e-73,2.40053328840915e-71,6.34379075410414,70.6196922672528,447.996550862678
"IQGAP3","ENSG00000183856",1342.82350196705,3.61331474347724,0.150434366900845,24.0192106226555,1.75189165462241e-127,2.84969067055989e-124,3.61331474347724,123.545202279416,446.407700882092
"MMP13","ENSG00000137745",1441.25242316332,6.13140515219628,0.335977916673657,18.2494290484926,2.09082980190784e-74,1.5653229140392e-72,6.13140515219628,71.8053960572746,440.267975341068
"TEDC2","ENSG00000162062",266.963863947202,3.51911378613901,0.145812415815681,24.1345276837567,1.08549302938518e-128,2.42784084684862e-125,3.51911378613901,124.614779786131,438.53358950205
"AKR1B10","ENSG00000198074",3056.31186841829,7.35510461205559,0.443036692970363,16.6015698671433,6.78918004047767e-62,3.00690095208582e-60,7.35510461205559,59.5218808774103,437.789660559664
"SAPCD2","ENSG00000186193",445.404393531468,3.80455882158968,0.164659528753932,23.1056098021222,4.06619467796131e-118,4.04202340959787e-115,3.80455882158968,114.393401175573,435.216423574175
"KIF4A","ENSG00000090889",835.523405834043,3.81464242454752,0.166583246246884,22.8993161706912,4.71964616653849e-116,4.22243144289366e-113,3.81464242454752,112.374437393081,428.668296314305
"GCNT3","ENSG00000140297",2281.58314520293,5.15426756587566,0.262975147324149,19.5998276579437,1.55148458192589e-85,1.88848392002721e-83,5.15426756587566,82.7238867087306,426.381046185983
"HHIPL2","ENSG00000143512",432.093286273035,6.07815720384367,0.338826727665765,17.9388363064423,5.86709496772566e-72,3.96150680217039e-70,6.07815720384367,69.4021395940243,421.837114735583
"SPP1","ENSG00000118785",24295.0804300755,4.81189496785343,0.239281858372585,20.1097358595437,6.06459092036797e-90,9.68872547662001e-88,4.81189496785343,87.0137333493554,418.700945637904
"UBE2C","ENSG00000175063",1674.13899236594,4.18134158037389,0.194069867765246,21.5455476345858,5.82902579949663e-103,2.00574535827679e-100,4.18134158037389,99.6977242041745,416.870239683563
"ITPKA","ENSG00000137825",618.9426017359,5.17261294766142,0.270122434803244,19.1491423192196,9.83939091674671e-82,9.72686307587563e-80,5.17261294766142,79.0120271976035,408.6986349033
"HJURP","ENSG00000123485",684.472238827826,3.85095164740082,0.173414844534885,22.2065859340325,2.96639609122018e-109,1.60841591697584e-106,3.85095164740082,105.793601637745,407.40604451134
"DLL3","ENSG00000090932",166.494536578526,6.79567947564637,0.408746028755532,16.6256770648916,4.54206405696593e-62,2.02167045202218e-60,6.79567947564637,59.6942896363477,405.663258895018
"FCN3","ENSG00000142748",1473.75887909624,-4.51467952758117,0.221979702918051,-20.3382537602902,5.8993817942046e-92,1.04512513310597e-89,4.51467952758117,88.9808317082477,401.719939260371
"TCN1","ENSG00000134827",1121.59415317345,6.71303070988648,0.403736750782363,16.6272470783944,4.42461832021826e-62,1.9743066235328e-60,6.71303070988648,59.7045853974784,400.798715294312
"KIF14","ENSG00000118193",438.696552247029,3.75747694593012,0.169386123239506,22.1829089306046,5.02243756246109e-109,2.64313162662107e-106,3.75747694593012,105.577881208684,396.706454641778
"NEK2","ENSG00000117650",674.694905628265,3.73222667692374,0.167797892852053,22.2423929972376,1.33635984602306e-109,7.71338281448086e-107,3.73222667692374,106.112755114107,396.036855398747
"GJB2","ENSG00000165474",1634.37010368888,4.55914978559733,0.22874919752327,19.9307793643016,2.20107705835344e-88,3.20194079716408e-86,4.55914978559733,85.4945867023051,389.782626633547
"STX11","ENSG00000135604",803.370434992623,-3.0570869268141,0.125449211240288,-24.3691203522874,3.63587137838439e-131,1.08427744289053e-127,3.0570869268141,126.964859577115,388.142612377988
"CDC25C","ENSG00000158402",195.18593296551,3.68829466874498,0.167020646268995,22.0828667062203,4.61843282505493e-108,2.23344914969481e-105,3.68829466874498,104.651023930928,385.983813643146
"AGER","ENSG00000204305",13936.2338338991,-5.0210544034218,0.26600697995172,-18.8756490688068,1.80887870335153e-79,1.58658169799357e-77,5.0210544034218,76.7995375598231,385.614656245508
"ASPM","ENSG00000066279",987.570692221637,3.74367006579748,0.171118061550736,21.8777026333219,4.23653533568241e-106,1.84888601856989e-103,3.74367006579748,102.733089861708,384.59879328216
"ANLN","ENSG00000011426",2000.03352473671,3.76905961330856,0.173059602779061,21.7789683599378,3.6724902798332e-105,1.46026374615679e-102,3.76905961330856,101.835568696849,383.824329173602
"CTHRC1","ENSG00000164932",3117.88251480656,3.79711017928721,0.175103423783207,21.684956794382,2.84524320843581e-104,9.98234053500823e-102,3.79711017928721,101.000767618806,383.511042841192
"FABP4","ENSG00000170323",937.898718024526,-4.90053013937417,0.257418162911385,-19.0372353059685,8.38378799360582e-81,7.89532202997836e-79,4.90053013937417,78.102630151534,382.744293021986
"CDC20","ENSG00000117399",1507.42800489859,3.76370631966126,0.173432166845512,21.7013163596916,1.99373009048308e-104,7.43204427271121e-102,3.76370631966126,101.128891711913,380.619448836467
"DLGAP5","ENSG00000126787",723.796342159492,3.67649685507057,0.168906875911149,21.7664132098715,4.82979305789686e-105,1.87868450402062e-102,3.67649685507057,101.726146146811,373.995856387201
"SEMA3G","ENSG00000010319",705.294871964909,-3.22059469116848,0.138903466093397,-23.1858482854776,6.32595269226804e-119,6.65825126604424e-116,3.22059469116848,115.176639819663,370.937274749832
"CA9","ENSG00000107159",861.818833214786,5.62196337229222,0.322154650874177,17.4511321101118,3.37477074372182e-68,1.95419977079011e-66,5.62196337229222,65.7090310419903,369.413765746882
"ADM2","ENSG00000128165",742.857319631797,3.46313344263864,0.155366029813248,22.2901585810063,4.60358885211764e-110,2.74573384436469e-107,3.46313344263864,106.561341563066,369.036145659494
"NUF2","ENSG00000143228",558.558074800668,3.70885004182109,0.172394929420725,21.5136840409601,1.15922235107622e-102,3.7683343829468e-100,3.70885004182109,99.423850567072,368.748152333699
"B3GNT6","ENSG00000198488",801.710629015523,5.76314749616287,0.335196664957049,17.1933318516201,2.97909151717735e-66,1.58174731504019e-64,5.76314749616287,63.8008628940676,367.693783240976
"KIF18B","ENSG00000186185",559.66305037467,3.76756028141093,0.177252769495147,21.2552971225314,2.94492282059832e-100,7.63673971434286e-98,3.76756028141093,97.1170920113551,365.894498508112
"UBE2T","ENSG00000077152",825.365575023928,3.31626148665296,0.146265366757785,22.672909931882,8.29273738726533e-114,6.45138913349298e-111,3.31626148665296,110.190346761635,365.420003166546
"SERPINA4","ENSG00000100665",110.88494935985,8.09283423743606,0.560530521090859,14.4378119173358,2.99190365760934e-47,7.1094465000802e-46,8.09283423743606,45.1481642095822,365.376609072692
"TEK","ENSG00000120156",940.452537960331,-3.24419019297143,0.141517909928013,-22.9242376079584,2.66353933038263e-116,2.50835311781771e-113,3.24419019297143,112.600611324969,365.297798983051
"TROAP","ENSG00000135451",539.242258455718,3.79996550880296,0.18000087579694,21.1108167778568,6.32698239050351e-99,1.52984724207134e-96,3.79996550880296,95.8153519320828,364.095032555732
"FEZF1","ENSG00000128610",132.381149714132,5.60075676643042,0.325073069186762,17.2292241262614,1.60286865259188e-66,8.63859301229712e-65,5.60075676643042,64.0635569863121,358.804400272688
"DEPDC1","ENSG00000024526",424.730969884277,3.78107622368803,0.180104420244258,20.9938002552082,7.47257632885489e-98,1.67133510315251e-95,3.78107622368803,94.7769364652118,358.358821022603
"RASAL1","ENSG00000111344",485.7859791893,4.02264737847762,0.197702769038593,20.3469450531184,4.94125264480564e-92,8.84138335735074e-90,4.02264737847762,89.0534797782606,358.23074697433
"AKR7A3","ENSG00000162482",450.737602851136,5.35615718847975,0.304611282225543,17.5835811114636,3.29117137978195e-69,2.00302481287206e-67,5.35615718847975,66.698313670763,357.246652227134
"KIF2C","ENSG00000142945",924.077763596039,3.57040463929452,0.165965873248447,21.5128843623756,1.17938146451138e-102,3.7683343829468e-100,3.57040463929452,99.423850567072,354.983377321199
"RAMP3","ENSG00000122679",1092.07805172365,-3.22047356235234,0.142084017057813,-22.6659805165979,9.7062558655874e-114,7.23641817512313e-111,3.22047356235234,110.140476344258,354.704492211577
"CENPF","ENSG00000117724",2334.4351461564,3.49033551528696,0.160927367811846,21.6888871218463,2.61230083113323e-104,9.34837975429338e-102,3.49033551528696,101.029263653806,352.626027014169
"MELK","ENSG00000165304",683.253826986263,3.61463380922989,0.169719579977573,21.2976829762808,1.19276837916535e-100,3.28341609360087e-98,3.61463380922989,97.4836740774582,352.367784168328
"UHRF1","ENSG00000276043",678.422340434189,3.34927012768361,0.151342015850876,22.130471230037,1.60887198789768e-108,8.22501327984378e-106,3.34927012768361,105.084863392179,351.957593831139
"NEIL3","ENSG00000109674",215.06648509756,4.27930476120771,0.219295132896954,19.5139066913014,8.36392586868627e-85,9.59331574156432e-83,4.27930476120771,82.018031261507,350.98015168225
"EXO1","ENSG00000174371",417.028702008328,3.59326794269684,0.168928068353135,21.2709940848036,2.10766525712034e-100,5.71400824934156e-98,3.59326794269684,97.2430591369598,349.420367046611
"EPAS1","ENSG00000116016",26930.0789178205,-2.71632671710257,0.110715057929642,-24.5343927727406,6.34762845282139e-133,2.83945289765833e-129,2.71632671710257,128.546765331227,349.175013066325
"CPS1","ENSG00000021826",10291.9115505611,6.61773920655634,0.424736459482483,15.5808126635035,9.82970823280822e-55,3.36296308622634e-53,6.61773920655634,52.4732778997196,347.254468453501
"EDNRB","ENSG00000136160",1509.88907785789,-3.48844644285633,0.162181866287002,-21.5094728080331,1.2693876126956e-102,3.9847636059583e-100,3.48844644285633,99.3995974377994,346.750172103242
"DEPDC1B","ENSG00000035499",330.53640065232,3.62489519936514,0.17204914018982,21.0689527152873,1.53284084082709e-98,3.56196378765184e-96,3.62489519936514,95.4483105000617,345.990122519187
"BIRC5","ENSG00000089685",1765.39981851469,3.67272998637285,0.175497927360945,20.9274835412682,3.00971460672503e-97,6.56741749489401e-95,3.67272998637285,94.1826053744593,345.907278953497
"TPX2","ENSG00000088325",2451.60170704062,3.63094038269376,0.172609189868912,21.0356145315975,3.09734159732452e-98,7.10522220524713e-96,3.63094038269376,95.1484223356107,345.47824900797
"FOXI3","ENSG00000214336",128.49338146426,6.84813687252145,0.449948375140195,15.2198279866834,2.61216950429709e-52,8.01707528994645e-51,6.84813687252145,50.0959840378377,343.064155454762
"S1PR1","ENSG00000170989",1751.34176810987,-2.84570084542512,0.120124521665863,-23.689591483583,4.61622853881699e-124,6.35370594192711e-121,2.84570084542512,120.196972888778,342.044627367135
"GPX2","ENSG00000176153",4761.71513536457,5.9477910082905,0.3649463681157,16.2977125625343,1.0245535295275e-59,4.17593082091927e-58,5.9477910082905,57.3792467045321,341.279767611698
"TFF2","ENSG00000160181",446.619529381678,9.60012400465313,0.750942155802651,12.7841058468637,2.01163023195215e-37,2.9796440182384e-36,9.60012400465313,35.5258356185243,341.052427306756
"ENTPD8","ENSG00000188833",222.187581488744,4.6786239342672,0.25496813523394,18.3498378335569,3.31099087527772e-75,2.55360171255794e-73,4.6786239342672,72.5928468390722,339.634630677876
"CDC6","ENSG00000094804",945.692192877206,3.41460342743063,0.158988946049524,21.4769863709079,2.55557702695056e-102,7.88395512814246e-100,3.41460342743063,99.1032558561906,338.398317116083
"IGF2BP1","ENSG00000159217",348.532188295391,6.59447807778513,0.428129492914243,15.402998828455,1.56251780535139e-53,5.01941312228948e-52,6.59447807778513,51.2993470582835,338.292419580541
"B4GALNT4","ENSG00000182272",510.756226411141,4.76186320651826,0.262421718452896,18.1458426329641,1.38494751164901e-73,9.99228460723214e-72,4.76186320651826,71.0003352045789,338.093883861147
"BUB1B","ENSG00000156970",523.510423355085,3.42298980080344,0.159690582107074,21.4351388518848,6.28460523035358e-102,1.87417402311194e-99,3.42298980080344,98.7271900859305,337.942164726122
"RGCC","ENSG00000102760",3338.60169481376,-2.86718969043996,0.122436291961702,-23.4178089233281,2.81455860659554e-121,3.3573931431876e-118,2.86718969043996,117.473997800867,336.820235389412
"MAGEA3","ENSG00000221867",410.703305743429,9.1986788746324,0.710876484178876,12.9399116152473,2.67937571145629e-38,4.11873450215527e-37,9.1986788746324,36.3852362022085,334.696103601765
"HOXB9","ENSG00000170689",336.889113463272,6.64654184910835,0.436997386641132,15.2095688722427,3.05548709586038e-52,9.345612069441e-51,6.64654184910835,50.0293922502321,332.522449276624
"PAX7","ENSG00000009709",440.387717655878,8.01164224694315,0.580437779710055,13.8027580681347,2.45285420593042e-43,4.86034554891618e-42,8.01164224694315,41.3133328532371,330.987642849019
"PRX","ENSG00000105227",1111.36659760313,-3.34758661587188,0.156192061452846,-21.4325016568305,6.65089014767387e-102,1.95089143298899e-99,3.34758661587188,98.7097668983993,330.439494524915
"IL37","ENSG00000125571",394.176350848097,6.22768099630181,0.398179232491623,15.640396304277,3.863163587989e-55,1.33443216370439e-53,6.22768099630181,52.8747034988174,329.286786164678
"ERCC6L","ENSG00000186871",205.835320447754,3.29700678419404,0.15304149617232,21.5432210652313,6.12930838359955e-103,2.06927763976881e-100,3.29700678419404,99.6841812351293,328.659421809049
"MNX1","ENSG00000130675",115.758659853995,4.33324403104546,0.232087703095125,18.6707178935258,8.56931498337217e-78,7.19862690129006e-76,4.33324403104546,75.1427503349663,325.611874365332
"TMEM184A","ENSG00000164855",1887.87302592723,3.13151513861051,0.142444694312199,21.9840770744827,4.09028337701866e-107,1.87660103756397e-104,3.13151513861051,103.726628047891,324.821506008992
"IL36RN","ENSG00000136695",134.859850546987,6.2885497997589,0.406955588457952,15.4526684928635,7.23836451349558e-54,2.38812054637863e-52,6.2885497997589,51.6219437548853,324.627164062949
"DUSP13","ENSG00000079393",109.857046432292,6.10945483920164,0.389945311872761,15.6674658040129,2.52445938578965e-55,8.82229527147152e-54,6.10945483920164,53.0544184110073,324.133573302157
"FUT9","ENSG00000172461",117.982940940461,6.72246779438501,0.452752140803009,14.8480088519558,7.16657969537161e-50,1.98500945029852e-48,6.72246779438501,47.7022374212924,320.676754784746
