"gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"TFF2","ENSG00000160181",446.619529381678,9.60012400465313,0.750942155802651,12.7841058468637,2.01163023195215e-37,2.9796440182384e-36,"Upregulated"
"MAGEA3","ENSG00000221867",410.703305743429,9.1986788746324,0.710876484178876,12.9399116152473,2.67937571145629e-38,4.11873450215527e-37,"Upregulated"
"MAGEA6","ENSG00000197172",326.052389286535,9.17536066582756,0.767005005143215,11.962582518108,5.57991153889523e-33,6.5945414244024e-32,"Upregulated"
"PDX1","ENSG00000139515",55.690840336456,8.80195634586775,0.615294691481879,14.3052694387287,2.02850648373528e-46,4.70156301988022e-45,"Upregulated"
"MAGEA12","ENSG00000213401",213.790879026315,8.75511808323128,0.702764801355292,12.4581055658264,1.26336122693446e-35,1.71512309814403e-34,"Upregulated"
"FGB","ENSG00000171564",6728.2921554279,8.6356226212213,0.506409940107874,17.0526325359683,3.3413906750429e-65,1.69850861785633e-63,"Upregulated"
"COX7B2","ENSG00000170516",20.669944445421,8.29766987378339,0.964115435918937,8.60651076068972,7.53180819589211e-18,3.69730162000268e-17,"Upregulated"
"PITX2","ENSG00000164093",327.307213372325,8.21980619250587,0.39371832160121,20.8773779159598,8.59826890159838e-97,1.83153363638452e-94,"Upregulated"
"TFF1","ENSG00000160182",1028.77567683017,8.12177082193621,0.479552900696462,16.9361311549588,2.43629780472312e-64,1.19105673824893e-62,"Upregulated"
"SERPINA4","ENSG00000100665",110.88494935985,8.09283423743606,0.560530521090859,14.4378119173358,2.99190365760934e-47,7.1094465000802e-46,"Upregulated"
"PAX7","ENSG00000009709",440.387717655878,8.01164224694315,0.580437779710055,13.8027580681347,2.45285420593042e-43,4.86034554891618e-42,"Upregulated"
"C11orf86","ENSG00000173237",99.1208801535217,7.80646787613889,0.456004254836325,17.1192873604675,1.06571992601796e-65,5.51125047290157e-64,"Upregulated"
"LIN28B","ENSG00000187772",21.8435468641413,7.70969743056208,0.791364377791665,9.74228515576643,1.99027533069463e-22,1.32042997746085e-21,"Upregulated"
"NKX1-2","ENSG00000229544",86.8051935651857,7.67809791637104,0.488365347034138,15.7220367149316,1.06833431114821e-55,3.78528828304453e-54,"Upregulated"
"HOXC12","ENSG00000123407",46.169352965723,7.66838763073162,0.741908440725275,10.336029636265,4.84184103856194e-25,3.71028101511729e-24,"Upregulated"
"INSL4","ENSG00000120211",130.474656231506,7.56285456005659,0.667342290784149,11.3327967738565,9.02753206599783e-30,9.07979939611575e-29,"Upregulated"
