"gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC","neg_log10_padj","priority_score"
"FAM83A","ENSG00000147689",6219.67804710491,6.78640608774972,0.235775588542183,28.783327950576,3.46846411966057e-182,6.20612284930866e-178,6.78640608774972,177.20717963187,1202.59988264668
"PITX2","ENSG00000164093",327.307213372325,8.21980619250587,0.39371832160121,20.8773779159598,8.59826890159838e-97,1.83153363638452e-94,8.21980619250587,93.7371851010442,770.501494561632
"CYP24A1","ENSG00000019186",4144.50617664334,6.68336960503676,0.316856558856264,21.0927292436719,9.27530783183864e-99,2.21284110713452e-96,6.68336960503676,95.6550497694311,639.298052197295
"PYCR1","ENSG00000183010",3607.63722206785,3.69610076544586,0.131865293262954,28.0293675006313,7.12911340138143e-173,6.37806130454589e-169,3.69610076544586,168.195311310728,621.666818879988
"COL11A1","ENSG00000060718",3150.21751800855,6.26532687232904,0.296159259061262,21.1552625171615,2.46811822972693e-99,6.13361659507e-97,6.26532687232904,96.2122833747261,602.801404475808
"CRABP2","ENSG00000143320",7869.66516784994,5.56896969266704,0.24902922671019,22.3627152773838,9.08161344245677e-111,5.80347533306711e-108,5.56896969266704,107.236311857133,597.195770685762
"PRAME","ENSG00000185686",1066.62960261342,7.53458946508109,0.395587248660432,19.0465933636519,7.01194929840858e-81,6.63834967176851e-79,7.53458946508109,78.177939875079,589.038682184513
"CST1","ENSG00000170373",734.037093059976,6.83252007475073,0.343624077046137,19.8837058610225,5.63165477684168e-88,7.81141076914947e-86,6.83252007475073,85.1072705238786,581.497134361641
"TMPRSS11E","ENSG00000087128",590.432913938015,6.72275210362646,0.338360053221237,19.8686341358115,7.60439205853975e-88,1.04665682387271e-85,6.72275210362646,84.9801956907463,571.300789346553
"FGL1","ENSG00000104760",1757.42683912484,7.44708896772287,0.395409735916077,18.8338533204541,3.98668481737822e-79,3.46280346783245e-77,7.44708896772287,76.4605721562293,569.408683370434
"ABCA12","ENSG00000144452",587.225467512638,5.39830042347459,0.244229662040074,22.1033775274554,2.9328737344444e-108,1.45771971473371e-105,5.39830042347459,104.83632597262,565.937982893517
"MMP11","ENSG00000099953",6261.99055314787,5.51995268519919,0.254454406172453,21.6932878790792,2.37399012723981e-104,8.66893986667386e-102,5.51995268519919,101.062034009583,557.85764600289
"MYEOV","ENSG00000172927",903.087329675502,6.28512577107603,0.312486333702604,20.1132820645451,5.64613980537687e-90,9.10147563401877e-88,6.28512577107603,87.0408881892441,547.062929495565
"FGB","ENSG00000171564",6728.2921554279,8.6356226212213,0.506409940107874,17.0526325359683,3.3413906750429e-65,1.69850861785633e-63,8.6356226212213,62.7699322452744,542.05744682982
"PPP1R14D","ENSG00000166143",599.620396116574,6.00752374906032,0.296374531635097,20.2700404650725,2.36462329586549e-91,3.99152873895483e-89,6.00752374906032,88.3988607394671,531.058255282224
"TRPM8","ENSG00000144481",333.728123045202,6.66394643957023,0.348115198301734,19.1429345000736,1.10847627946248e-81,1.08977835540781e-79,6.66394643957023,78.9626618220699,526.202949108171
"B3GNT3","ENSG00000179913",2079.86290350245,4.34421463859279,0.182665479655008,23.7823514700068,5.0861466150087e-125,7.58386844852923e-122,4.34421463859279,121.120109208973,526.17175145358
"PTPRH","ENSG00000080031",726.84563742016,5.1876931529509,0.239048847854748,21.7013936670511,1.99038100403248e-104,7.43204427271121e-102,5.1876931529509,101.128891711913,524.625659099405
"SYT12","ENSG00000173227",1331.18078906004,5.70450488862087,0.277045334156312,20.5905105963717,3.33832387398468e-94,6.63695878635642e-92,5.70450488862087,91.1780308791959,520.125522885198
"EEF1A2","ENSG00000101210",2785.11578266443,6.35624539156786,0.328305519752775,19.3607630975998,1.65416898710445e-83,1.72081660966628e-81,6.35624539156786,80.7642654107031,513.357489820145
"SLC6A4","ENSG00000108576",1082.89694979364,-6.14669276251818,0.311047623325082,-19.7612593750448,6.41832826832005e-87,8.57038415709333e-85,6.14669276251818,84.0669997109162,516.734018689706
"FAM107A","ENSG00000168309",1690.00152074688,-4.54221434661921,0.20339954319276,-22.3314874523321,1.82742889944514e-110,1.12752363095765e-107,4.54221434661921,106.947874347289,485.780169200683
"RTKN2","ENSG00000182010",2072.09371208104,-4.05229344026554,0.176999568779785,-22.8943689987585,5.28685576626852e-116,4.50465286789727e-113,4.05229344026554,112.346338670471,455.2603312322
"FCN3","ENSG00000142748",1473.75887909624,-4.51467952758117,0.221979702918051,-20.3382537602902,5.8993817942046e-92,1.04512513310597e-89,4.51467952758117,88.9808317082477,401.719939260371
"STX11","ENSG00000135604",803.370434992623,-3.0570869268141,0.125449211240288,-24.3691203522874,3.63587137838439e-131,1.08427744289053e-127,3.0570869268141,126.964859577115,388.142612377988
"AGER","ENSG00000204305",13936.2338338991,-5.0210544034218,0.26600697995172,-18.8756490688068,1.80887870335153e-79,1.58658169799357e-77,5.0210544034218,76.7995375598231,385.614656245508
"FABP4","ENSG00000170323",937.898718024526,-4.90053013937417,0.257418162911385,-19.0372353059685,8.38378799360582e-81,7.89532202997836e-79,4.90053013937417,78.102630151534,382.744293021986
"SEMA3G","ENSG00000010319",705.294871964909,-3.22059469116848,0.138903466093397,-23.1858482854776,6.32595269226804e-119,6.65825126604424e-116,3.22059469116848,115.176639819663,370.937274749832
"TEK","ENSG00000120156",940.452537960331,-3.24419019297143,0.141517909928013,-22.9242376079584,2.66353933038263e-116,2.50835311781771e-113,3.24419019297143,112.600611324969,365.297798983051
"RAMP3","ENSG00000122679",1092.07805172365,-3.22047356235234,0.142084017057813,-22.6659805165979,9.7062558655874e-114,7.23641817512313e-111,3.22047356235234,110.140476344258,354.704492211577
"EPAS1","ENSG00000116016",26930.0789178205,-2.71632671710257,0.110715057929642,-24.5343927727406,6.34762845282139e-133,2.83945289765833e-129,2.71632671710257,128.546765331227,349.175013066325
"EDNRB","ENSG00000136160",1509.88907785789,-3.48844644285633,0.162181866287002,-21.5094728080331,1.2693876126956e-102,3.9847636059583e-100,3.48844644285633,99.3995974377994,346.750172103242
"S1PR1","ENSG00000170989",1751.34176810987,-2.84570084542512,0.120124521665863,-23.689591483583,4.61622853881699e-124,6.35370594192711e-121,2.84570084542512,120.196972888778,342.044627367135
"RGCC","ENSG00000102760",3338.60169481376,-2.86718969043996,0.122436291961702,-23.4178089233281,2.81455860659554e-121,3.3573931431876e-118,2.86718969043996,117.473997800867,336.820235389412
"PRX","ENSG00000105227",1111.36659760313,-3.34758661587188,0.156192061452846,-21.4325016568305,6.65089014767387e-102,1.95089143298899e-99,3.34758661587188,98.7097668983993,330.439494524915
"TMEM100","ENSG00000166292",1117.02030809051,-4.33883067616173,0.235981344335134,-18.3863291752413,1.69045280612753e-75,1.32084157467423e-73,4.33883067616173,72.8791492697215,316.210288504037
"EMP2","ENSG00000213853",14426.8738055422,-2.72508508854085,0.117448223097097,-23.2024377779472,4.30238265538931e-119,4.81140830330506e-116,2.72508508854085,115.317727786654,314.250620435824
"OTUD1","ENSG00000165312",1099.02618908628,-2.11172387895119,0.081371658870187,-25.9515893896184,1.74472035632202e-148,1.04060937785567e-144,2.11172387895119,143.982712264609,304.051731645333
"ACVRL1","ENSG00000139567",2201.68796774784,-2.55991430151739,0.108793481763335,-23.5300337853524,2.01027054672201e-122,2.56926934946406e-119,2.55991430151739,118.590190364066,303.580724332642
"CLEC3B","ENSG00000163815",440.517659848253,-3.76362357580865,0.195312179229191,-19.269784355804,9.63366127292609e-83,9.7940398384356e-81,3.76362357580865,80.0090381337691,301.123902198027
