validation_rank,gene_name,log2FoldChange,abs_log2FC,pvalue,padj,direction,validation_status,AUC,CI_lower,CI_upper,sensitivity,specificity,ROC_rank,stability_score,stability_rank,top10_stability,top20_stability,importance,ML_rank,baseMean,lfcSE,stat
1,PYCR1,6.55862975962429,6.55862975962429,8.02193638395307e-293,3.20877455358123e-293,Up in Tumor,Strongly validated,0.997853320944539,0.995472784627874,1,0.984877126654064,1,1,0.6843347134279167,3,1,1,0.08989949234773645,4,5093.08924797859,0.172087057422062,38.1122779241821
2,FAM83A,9.45909328661675,9.45909328661675,1.9222515037606298e-291,3.8445030075212597e-290,Up in Tumor,Strongly validated,0.995226042100541,0.990976329516303,0.99947575468478,0.975425330812854,0.983050847457627,2,0.5943671845472132,5,1,1,0.08704477994792804,5,8871.98488035738,0.259260231518355,36.4849372818178
3,B3GNT3,6.88764348583213,6.88764348583213,7.50430065095572e-255,1.0005734201274301e-253,Up in Tumor,Strongly validated,0.99160552369357,0.985890970055908,0.997320077331231,0.973534971644612,0.966101694915254,4,0.08572451998898997,13,0.2,1,0.0135961206582946,14,2683.17216040775,0.201986669375398,34.0994953138776
4,CRABP2,8.22271759677041,8.22271759677041,3.31130242296664e-206,3.3113024229666397e-205,Up in Tumor,Strongly validated,0.990388004229278,0.983190224662458,0.997585783796099,0.98109640831758,0.949152542372881,5,-0.00355612564578612,38,0,0.4,0.00984802066209478,16,10810.9883007897,0.26834226500648,30.6426480993288
5,COL11A1,9.09657258660324,9.09657258660324,1.2538012306485e-192,1.0030409845187999e-191,Up in Tumor,Strongly validated,0.978837589311461,0.967290429655091,0.99038474896783,0.950850661625709,0.949152542372881,12,0.01493405070292453,21,0,0.4,0.00402870011774748,24,4111.22019513503,0.307255188627896,29.6059201708705
6,ABCA12,7.82095568585552,7.82095568585552,3.22182614036126e-192,2.14788409357417e-191,Up in Tumor,Strongly validated,0.989522924609913,0.981033354366917,0.99801249485291,0.952741020793951,0.949152542372881,6,0.02249750374135152,18,0,1,0.00956740510470825,17,795.805551823638,0.264453215317693,29.5740616216749
7,CYP24A1,9.62983397549059,9.62983397549059,5.5400091473571894e-185,3.1657195127755396e-184,Up in Tumor,Strongly validated,0.982874627535164,0.973822646775015,0.991926608295313,0.914933837429111,0.983050847457627,11,0.00687902734887448,30,0,0,0.0025270438148018,32,5988.96204977517,0.331995439223587,29.005922484993
8,PPP1R14D,8.94844559690494,8.94844559690494,3.1347955119432294e-181,1.56739775597162e-180,Up in Tumor,Strongly validated,0.986062606132453,0.976745405063508,0.995379807201399,0.941398865784499,0.949152542372881,9,0.00734461653958949,29,0,0.2,0.00133582911100631,36,846.035743947438,0.311718287621108,28.7068354737715
9,MYEOV,9.16976968888518,9.16976968888518,1.10091482709406e-177,4.892954787084699e-177,Up in Tumor,Strongly validated,0.989490884624011,0.98271988206082,0.996261887187202,0.964083175803403,0.949152542372881,7,-0.04473846696197121,40,0,0.4,0.00276928817065332,31,1189.23247968265,0.322636395247164,28.4213741039986
10,PITX2,11.4683154220349,11.4683154220349,1.45809085215799e-175,5.83236340863195e-175,Up in Tumor,Strongly validated,0.963698695972574,0.950109062354569,0.977288329590578,0.924385633270321,1,17,-0.02299150801501005,39,0,0.4,0.00350568139527132,27,485.066961728628,0.405970322937254,28.2491472259844
11,TMPRSS11E,9.69476108621997,9.69476108621997,7.556488416786799e-169,2.7478139697406493e-168,Up in Tumor,Strongly validated,0.966454134760181,0.952572761966828,0.980335507553533,0.88468809073724,1,14,0.00898959953928375,25,0,0.2,0.00281056073147667,30,810.730040545535,0.350027390944404,27.697149814655
12,EEF1A2,9.20020052507496,9.20020052507496,4.228573115960869e-159,1.40952437198696e-158,Up in Tumor,Strongly validated,0.966165774887059,0.951333186414524,0.980998363359594,0.888468809073724,0.966101694915254,15,0.03668892241836714,15,0,0,0.00376650987652299,25,3940.27376621615,0.342324530463805,26.8756682806514
13,TRPM8,9.59299032865148,9.59299032865148,4.0269433734944394e-155,1.2390594995367499e-154,Up in Tumor,Strongly validated,0.976530710326487,0.965430131181789,0.987631289471186,0.91304347826087,1,13,0.00838017622076494,26,0,0,0.00363016994396829,26,465.748579154352,0.361548356881923,26.5330768237578
14,PRAME,10.460915019936,10.460915019936,8.08448029284803e-143,2.3098515122422998e-142,Up in Tumor,Strongly validated,0.942312005382718,0.919251462591163,0.965372548174272,0.943289224952741,0.864406779661017,19,0.00211218107961687,35,0,0,8.5934021051757e-4,38,1619.145423405,0.411123848829478,25.4446805986068
15,MMP11,6.81437647600255,6.81437647600255,1.09103788278964e-138,2.9094343541057097e-138,Up in Tumor,Strongly validated,0.993399762904104,0.986191662708621,1,0.975425330812854,0.966101694915254,3,0.1938800977087251,11,0.4,1,0.01634610147036731,13,7791.3496878878595,0.271827748490193,25.0687301566948
