"validation_rank","gene_name","log2FoldChange","abs_log2FC","pvalue","padj","direction","validation_status","AUC","CI_lower","CI_upper","sensitivity","specificity","ROC_rank","stability_score","stability_rank","top10_stability","top20_stability","importance","ML_rank","baseMean","lfcSE","stat","score_AUC","score_sensitivity","score_specificity","score_stability","score_ML","score_DE","integrated_score","integrated_rank"
2,"FAM83A",9.45909328661675,9.45909328661675,1.92225150376063e-291,3.84450300752126e-290,"Up in Tumor","Strongly validated",0.995226042100541,0.990976329516303,0.99947575468478,0.975425330812854,0.983050847457627,2,0.594367184547213,5,1,1,0.087044779947928,5,8871.98488035738,0.259260231518355,36.4849372818178,0.995226042100541,0.975425330812854,0.983050847457627,0.897435897435897,0.897435897435897,0.846153846153846,0.93701513848257,1
1,"PYCR1",6.55862975962429,6.55862975962429,8.02193638395307e-293,3.20877455358123e-293,"Up in Tumor","Strongly validated",0.997853320944539,0.995472784627874,1,0.984877126654064,1,1,0.684334713427917,3,1,1,0.0898994923477364,4,5093.08924797859,0.172087057422062,38.1122779241821,0.997853320944539,0.984877126654064,1,0.948717948717949,0.923076923076923,0.538461538461538,0.925400027439373,2
15,"MMP11",6.81437647600255,6.81437647600255,1.09103788278964e-138,2.90943435410571e-138,"Up in Tumor","Strongly validated",0.993399762904104,0.986191662708621,1,0.975425330812854,0.966101694915254,3,0.193880097708725,11,0.4,1,0.0163461014703673,13,7791.34968788786,0.271827748490193,25.0687301566948,0.993399762904104,0.975425330812854,0.966101694915254,0.743589743589744,0.692307692307692,0.564102564102564,0.834863653429223,3
3,"B3GNT3",6.88764348583213,6.88764348583213,7.50430065095572e-255,1.00057342012743e-253,"Up in Tumor","Strongly validated",0.99160552369357,0.985890970055908,0.997320077331231,0.973534971644612,0.966101694915254,4,0.08572451998899,13,0.2,1,0.0135961206582946,14,2683.17216040775,0.201986669375398,34.0994953138776,0.99160552369357,0.973534971644612,0.966101694915254,0.692307692307692,0.666666666666667,0.58974358974359,0.821311026930841,4
6,"ABCA12",7.82095568585552,7.82095568585552,3.22182614036126e-192,2.14788409357417e-191,"Up in Tumor","Strongly validated",0.989522924609913,0.981033354366917,0.99801249485291,0.952741020793951,0.949152542372881,6,0.0224975037413515,18,0,1,0.00956740510470825,17,795.805551823638,0.264453215317693,29.5740616216749,0.989522924609913,0.952741020793951,0.949152542372881,0.564102564102564,0.58974358974359,0.666666666666667,0.782643035944756,5
16,"PTPRH",6.55310509259853,6.55310509259853,3.53236508701171e-134,8.83091271752927e-134,"Up in Tumor","Strongly validated",0.983691647175675,0.972241987982043,0.995141306369307,0.935727788279773,0.983050847457627,10,0.0272697726903618,16,0,0.4,0.00689324365126961,18,986.347000383826,0.265828151126017,24.6516595960223,0.983691647175675,0.935727788279773,0.983050847457627,0.615384615384615,0.564102564102564,0.512820512820513,0.771766651961135,6
12,"EEF1A2",9.20020052507496,9.20020052507496,4.22857311596087e-159,1.40952437198696e-158,"Up in Tumor","Strongly validated",0.966165774887059,0.951333186414524,0.980998363359594,0.888468809073724,0.966101694915254,15,0.0366889224183671,15,0,0,0.00376650987652299,25,3940.27376621615,0.342324530463805,26.8756682806514,0.966165774887059,0.888468809073724,0.966101694915254,0.641025641025641,0.384615384615385,0.794871794871795,0.756037319189733,7
17,"SYT12",7.01026428411212,7.01026428411212,8.94297539091938e-128,2.10422950374574e-127,"Up in Tumor","Strongly validated",0.989202524750889,0.976194259153471,1,0.969754253308129,0.966101694915254,8,0.017248460880369,20,0,0.6,0.0052604574778581,22,1668.50064076065,0.291521736225619,24.0471409606543,0.989202524750889,0.969754253308129,0.966101694915254,0.512820512820513,0.461538461538462,0.615384615384615,0.745784195085723,8
19,"CST1",7.56023622630023,7.56023622630023,4.75093640023989e-101,1.00019713689261e-100,"Up in Tumor","Strongly validated",0.965573035147865,0.94851111335089,0.982634956944839,0.950850661625709,0.932203389830508,16,0.0129137744917298,22,0,0.4,0.00617801418075867,20,969.897621360351,0.354262636768915,21.3407665433026,0.965573035147865,0.950850661625709,0.932203389830508,0.461538461538462,0.512820512820513,0.641025641025641,0.736215555988232,9
5,"COL11A1",9.09657258660324,9.09657258660324,1.2538012306485e-192,1.0030409845188e-191,"Up in Tumor","Strongly validated",0.978837589311461,0.967290429655091,0.99038474896783,0.950850661625709,0.949152542372881,12,0.0149340507029245,21,0,0.4,0.00402870011774748,24,4111.22019513503,0.307255188627896,29.6059201708705,0.978837589311461,0.950850661625709,0.949152542372881,0.487179487179487,0.41025641025641,0.743589743589744,0.736098404655164,10
