"gene_name","log2FoldChange","padj","Significance"
"FAM83A",6.79169955503033,4.29677444265371e-176,"Upregulated"
"PYCR1",3.68778284552719,2.97067106030629e-165,"Upregulated"
"OTUD1",-2.12045819009293,9.4217416734417e-146,"Downregulated"
"AFAP1-AS1",6.30580706970009,1.20465158629396e-128,"Upregulated"
"EPAS1",-2.72397932995301,4.17782302266439e-128,"Downregulated"
"STX11",-3.06733198108962,2.35383001229803e-127,"Downregulated"
"SPAAR",-2.72042985490703,3.00872845559633e-127,"Downregulated"
"PECAM1",-2.32194072429338,1.34990221983209e-126,"Downregulated"
"ETV4",3.84679264258589,6.71526656564101e-125,"Upregulated"
"TEDC2",3.51277904836723,6.99078090418126e-124,"Upregulated"
"IQGAP3",3.60524212249925,1.65546995244555e-122,"Upregulated"
"TOP2A",3.84859133357327,3.68057302985422e-122,"Upregulated"
"S1PR1",-2.85786461175457,1.23864486991279e-120,"Downregulated"
"FAM83A-AS1",6.61995562163355,1.89036442967977e-120,"Upregulated"
"B3GNT3",4.34654494058237,5.81646448348256e-120,"Upregulated"
"RGCC",-2.88225704486981,5.94702787429284e-119,"Downregulated"
"ACVRL1",-2.56966346872342,1.14233768099397e-118,"Downregulated"
"EMP2",-2.73403226434656,1.75411849705021e-116,"Downregulated"
"SEMA3G",-3.22936633093402,4.57887202879894e-116,"Downregulated"
"RTKN2",-4.06768470125319,1.04745477630348e-114,"Downregulated"
"LCAL1",7.8340297806561,5.93644331036976e-114,"Upregulated"
"TEK",-3.25504862552452,1.14473395263897e-113,"Downregulated"
"SAPCD2",3.79878941635378,3.09692238557226e-113,"Upregulated"
"PTPN21",-2.44960605480788,2.02051259060739e-112,"Downregulated"
"RAMP3",-3.23362026950206,3.48193663617737e-111,"Downregulated"
"KIF4A",3.81127980238813,5.97053110901281e-111,"Upregulated"
"UBE2T",3.3099485856487,5.39467939356036e-109,"Upregulated"
"HSPA12B",-2.79712893953787,7.17882892569252e-109,"Downregulated"
"PALM2AKAP2",-2.51266689817546,1.69663740084385e-108,"Downregulated"
"MEX3A",4.16535115564742,4.28965491597555e-108,"Upregulated"
"FAM107A",-4.5571136627906,7.70683580408774e-108,"Downregulated"
"CRABP2",5.56434313718907,9.29140251087249e-107,"Upregulated"
"ADM2",3.45477839608745,7.72383984068252e-106,"Upregulated"
"TMPRSS4",4.81637649058648,1.8514236644773e-105,"Upregulated"
"NEK2",3.73141762928185,4.05951797836428e-105,"Upregulated"
"RAMP2",-2.87152593675994,5.30532613917307e-105,"Downregulated"
"KIF14",3.75065006901283,5.62868195804942e-105,"Upregulated"
"LDB2",-2.58988584250434,7.21532028812622e-105,"Downregulated"
"HJURP",3.84565786205978,7.44146270253301e-105,"Upregulated"
"ABCA12",5.39746760244066,1.03588188491054e-104,"Upregulated"
"TMEM184A",3.1233566158206,2.18961187771641e-104,"Upregulated"
"WWC2",-2.36035254317592,6.94072565903778e-104,"Downregulated"
"CDC25C",3.68206507642494,9.97902551577582e-104,"Upregulated"
"UHRF1",3.34668035865284,1.52210641901721e-103,"Upregulated"
"ASPM",3.73312871215138,1.43983900974329e-102,"Upregulated"
"COL10A1",4.62621702123465,4.40278268246979e-102,"Upregulated"
"PTPRH",5.19079592166472,8.00636219842916e-101,"Upregulated"
"MMP11",5.51760045190878,8.66329496477432e-101,"Upregulated"
"EDNRB",-3.50209569055048,1.30598109650576e-100,"Downregulated"
"ANLN",3.76728695230741,1.63914826965685e-100,"Upregulated"
"DLGAP5",3.67241109740376,1.86271259703962e-100,"Upregulated"
"GOLM1",2.63234529963219,1.87474977109359e-100,"Upregulated"
"CENPF",3.4862337451466,2.32611658385689e-100,"Upregulated"
"ROBO4",-2.85578323510177,5.3309064578353e-100,"Downregulated"
"CDC20",3.75898120807849,6.11246270029152e-100,"Upregulated"
"PRX",-3.35892395319374,6.26877560206838e-100,"Downregulated"
"LIMS2",-2.81889069560271,1.13980951420236e-99,"Downregulated"
"CTHRC1",3.78908851295874,1.13980951420236e-99,"Upregulated"
"CDH5",-2.5597618765478,4.49504243877291e-99,"Downregulated"
"ERCC6L",3.29275184077704,4.54579006388398e-99,"Upregulated"
"Z98257.1",6.06885463178261,6.65748362783998e-99,"Upregulated"
"UBE2C",4.17534841346962,7.31389775876626e-99,"Upregulated"
"NUF2",3.70112667117685,1.03145632848424e-98,"Upregulated"
"JAM2",-2.51298153104638,1.49381119990957e-98,"Downregulated"
"KIF2C",3.56548695325415,2.32381876813112e-98,"Upregulated"
"CDC6",3.41259824415333,1.06339713585982e-97,"Upregulated"
"BUB1B",3.41884154071303,1.35212204755747e-97,"Upregulated"
"GREM1",5.04114994748336,1.46492205221772e-97,"Upregulated"
"LINC01977",4.78809497529595,2.55365068794774e-97,"Upregulated"
"XRCC2",3.23167042218829,3.68129691593012e-97,"Upregulated"
"KIF20A",3.14766965983544,4.68497475842081e-97,"Upregulated"
"E2F8",3.15764727672424,1.27934589388056e-96,"Upregulated"
"KIF18B",3.76147785294093,1.9767103715912e-96,"Upregulated"
"MELK",3.61035236062965,2.28724707844621e-96,"Upregulated"
"CYP24A1",6.69224178660055,4.06128353509251e-96,"Upregulated"
"EXO1",3.58930982276773,4.06128353509251e-96,"Upregulated"
"COL11A1",6.25794650402756,9.39140042154003e-96,"Upregulated"
"SPAG5",3.0763172156021,1.23069694291683e-95,"Upregulated"
"KIF26B",3.14157632340652,1.60484205337873e-95,"Upregulated"
"TROAP",3.79309243825183,1.74493914939957e-95,"Upregulated"
"ARHGEF39",2.73241130327211,7.26064729117427e-95,"Upregulated"
"SH2D3C",-2.30071805753218,1.00124617804017e-94,"Downregulated"
"DEPDC1B",3.62043680244606,1.55081132761707e-94,"Upregulated"
"AL590226.1",-3.63746602207054,1.5781026025418e-94,"Downregulated"
"ORC6",3.05000658869507,2.17345251947061e-94,"Upregulated"
"PLK1",3.18451736814943,3.45366957110834e-94,"Upregulated"
"DEPDC1",3.77525764283186,6.54903429342964e-94,"Upregulated"
"TPX2",3.62866396872956,7.21997281926611e-94,"Upregulated"
"PLEKHN1",3.1236189422974,7.40583801617081e-94,"Upregulated"
"PITX2",8.216440317457,9.79776674623611e-94,"Upregulated"
"KANK3",-2.86289558782525,1.2873803048304e-93,"Downregulated"
"FEZF1-AS1",6.16332435871024,1.76846716095967e-93,"Upregulated"
"CYYR1",-2.2826163988747,4.5744333453294e-93,"Downregulated"
"BIRC5",3.66793124290853,5.654431799173e-93,"Upregulated"
"CD101",-2.75557569957837,2.39598285048997e-92,"Downregulated"
"ZYG11A",5.43598457646439,5.59814648617388e-92,"Upregulated"
