#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVRL1	SMAD6	9606.ENSP00000373574	9606.ENSP00000288840	0	0	0	0	0.121	0.190	0	0.520	0.628
ACVRL1	SOX17	9606.ENSP00000373574	9606.ENSP00000297316	0	0	0	0	0.168	0.054	0	0.387	0.476
ACVRL1	CAV1	9606.ENSP00000373574	9606.ENSP00000339191	0	0	0	0	0.056	0.046	0	0.507	0.517
ACVRL1	CLEC14A	9606.ENSP00000373574	9606.ENSP00000353013	0	0	0	0	0.344	0.098	0	0.289	0.542
ACVRL1	TEK	9606.ENSP00000373574	9606.ENSP00000369375	0	0	0	0.571	0.195	0.074	0	0.268	0.407
ACVRL1	PECAM1	9606.ENSP00000373574	9606.ENSP00000457421	0	0	0	0	0.178	0.081	0	0.328	0.448
ACVRL1	TMEM100	9606.ENSP00000373574	9606.ENSP00000465638	0	0	0	0	0.114	0	0	0.432	0.475
ACVRL1	CDH5	9606.ENSP00000373574	9606.ENSP00000497290	0	0	0	0	0.227	0.095	0	0.628	0.717
ADM2	RAMP3	9606.ENSP00000379087	9606.ENSP00000242249	0	0	0	0	0	0.900	0.400	0.922	0.994
ADM2	RAMP2	9606.ENSP00000379087	9606.ENSP00000253796	0	0	0	0	0	0	0.400	0.880	0.924
ADM2	CALCRL	9606.ENSP00000379087	9606.ENSP00000376177	0	0	0	0	0	0.900	0.400	0.985	0.999
ADRB2	SLC6A4	9606.ENSP00000305372	9606.ENSP00000261707	0	0	0	0	0.054	0	0	0.461	0.469
ADRB2	SLC2A1	9606.ENSP00000305372	9606.ENSP00000416293	0	0	0	0	0	0	0	0.411	0.410
ADRB2	GRK5	9606.ENSP00000305372	9606.ENSP00000376609	0	0	0	0	0.054	0.333	0.500	0.750	0.910
AGER	FABP4	9606.ENSP00000364210	9606.ENSP00000256104	0	0	0	0	0.058	0	0	0.457	0.466
AGER	CAV1	9606.ENSP00000364210	9606.ENSP00000339191	0	0	0	0	0.052	0	0	0.479	0.484
AGER	HMGB3	9606.ENSP00000364210	9606.ENSP00000359393	0	0	0	0	0	0.045	0	0.573	0.574
AGER	EDNRB	9606.ENSP00000364210	9606.ENSP00000366416	0	0	0	0	0.106	0	0	0.410	0.449
ALDH18A1	CAT	9606.ENSP00000360268	9606.ENSP00000241052	0	0	0	0	0.058	0	0	0.446	0.456
ALDH18A1	PPAT	9606.ENSP00000360268	9606.ENSP00000264220	0.088	0	0	0	0.156	0	0	0.398	0.496
ALDH18A1	PLK1	9606.ENSP00000360268	9606.ENSP00000300093	0	0	0	0	0.108	0	0	0.384	0.427
ALDH18A1	S1PR1	9606.ENSP00000360268	9606.ENSP00000305416	0	0	0	0	0	0	0	0.462	0.462
ALDH18A1	AURKB	9606.ENSP00000360268	9606.ENSP00000313950	0	0	0	0	0.137	0	0	0.343	0.409
